=== Detection comparison (full) ===
theta space: [0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]
test_thetas: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]
speaker types: ['inf', 'high', 'low']
psi: ['inf', 'high', 'low']   alpha: 3.0   c: 2.0
rounds: 150   n_sims per cond: 100

-- speaker ψ=inf
      θ   cross%_surp2   cross%_surp1     cross%_sus | median_τ_surp2 median_τ_surp1   median_τ_sus
    0.1           45.0            2.0           22.0 |            7.0            2.0           21.5
    0.2           35.0            0.0           16.0 |            6.0            nan           10.5
    0.3           16.0            2.0           13.0 |           12.5            2.0            2.0
    0.4           16.0            4.0           20.0 |           22.0            2.0            7.0
    0.5           15.0            7.0           20.0 |           17.0            2.0            5.0
    0.6           17.0            2.0           13.0 |            9.0            2.5            8.0
    0.7           22.0            4.0           19.0 |           12.0            2.5           10.0
    0.8           32.0            6.0           15.0 |            6.5            2.0            2.0
    0.9           26.0            2.0           15.0 |            7.0            2.5           11.0

-- speaker ψ=high
      θ   cross%_surp2   cross%_surp1     cross%_sus | median_τ_surp2 median_τ_surp1   median_τ_sus
    0.1           86.0          100.0          100.0 |           26.0            3.0            2.0
    0.2           43.0           90.0           99.0 |            7.0            3.0            2.0
    0.3           64.0           89.0           99.0 |           12.0            3.0            2.0
    0.4           92.0          100.0          100.0 |           16.5            3.0            2.0
    0.5          100.0          100.0          100.0 |           22.0           10.0            5.0
    0.6           50.0           95.0          100.0 |           32.0           33.0           12.0
    0.7           18.0           49.0           88.0 |            6.5           40.0           13.0
    0.8           37.0           73.0           95.0 |            4.0           52.0           14.0
    0.9          100.0          100.0          100.0 |            8.0           23.5            8.5

-- speaker ψ=low
      θ   cross%_surp2   cross%_surp1     cross%_sus | median_τ_surp2 median_τ_surp1   median_τ_sus
    0.1          100.0          100.0          100.0 |            8.0           24.0            8.0
    0.2           41.0           82.0           98.0 |            4.0           33.5            8.0
    0.3           18.0           48.0           89.0 |            3.5            9.5           17.0
    0.4           53.0           95.0          100.0 |           31.0           26.0           11.0
    0.5           99.0          100.0          100.0 |           28.0           12.0            6.0
    0.6           91.0           99.0          100.0 |           16.0            3.0            2.0
    0.7           62.0           92.0           98.0 |            9.5            3.0            2.0
    0.8           41.0           90.0           98.0 |            7.0            3.0            2.0
    0.9           92.0          100.0          100.0 |           44.0            3.0            2.0
