score,rule,FPR,TPR_pers+,TPR_pers-,TPR_avg,median_tau
surp2,fixed_z c=2,0.2335,0.7431111111111111,0.7398333333333333,0.7414722222222222,3.0
surp2,fixed_z c=3.5,0.034277777777777775,0.6350555555555556,0.6358333333333334,0.6354444444444445,5.0
surp2,"warmup c=3.5,t≥10",0.01538888888888889,0.6276666666666667,0.6297222222222222,0.6286944444444444,10.0
surp2,LIL c=2,0.3307777777777778,0.7267222222222223,0.7288333333333333,0.7277777777777779,1.0
surp2,Robbins δ=0.05,0.0017222222222222222,0.5893888888888889,0.5921111111111111,0.59075,17.0
surp2,"empirical δ=0.05 (c=3.34, held-out)",0.042222222222222223,0.6457222222222222,0.6468333333333334,0.6462777777777777,4.0
sus_1,fixed_z c=2,0.2877222222222222,0.9992222222222222,0.9986666666666667,0.9989444444444444,2.0
sus_1,fixed_z c=3.5,0.09061111111111111,0.9890555555555556,0.9877222222222222,0.9883888888888889,5.0
sus_1,"warmup c=3.5,t≥10",0.05516666666666667,0.9886666666666667,0.9873333333333333,0.988,10.0
sus_1,LIL c=2,0.29877777777777775,0.9925,0.9919444444444444,0.9922222222222222,1.0
sus_1,Robbins δ=0.05,0.0016666666666666668,0.8255,0.8255,0.8255,18.0
sus_1,"empirical δ=0.05 (c=3.78, held-out)",0.08466666666666667,0.9839444444444444,0.9833888888888889,0.9836666666666667,5.0
