score,c,FPR_target,alpha_star,TPR,median_tau
surp2,2.0,0.05,,,
surp2,2.0,0.1,,,
surp2,2.5,0.05,,,
surp2,2.5,0.1,3.0,0.5888888888888889,20.0
surp2,3.0,0.05,,,
surp2,3.0,0.1,1.5,0.03777777777777778,13.0
surp2,3.5,0.05,1.5,0.024166666666666666,13.0
surp2,3.5,0.1,1.5,0.024166666666666666,13.0
sus1,2.0,0.05,,,
sus1,2.0,0.1,,,
sus1,2.5,0.05,,,
sus1,2.5,0.1,2.5,0.9886111111111111,9.0
sus1,3.0,0.05,2.0,0.9447222222222222,18.0
sus1,3.0,0.1,1.5,0.9225,20.0
sus1,3.5,0.05,2.0,0.9036111111111111,27.0
sus1,3.5,0.1,1.5,0.8586111111111111,35.0
