psi,theta_star,score_type,rate,t_warmup
high,0.5,surp1,1.0,0
high,0.5,surp2,0.985,0
high,0.5,sus,1.0,0
inf,0.1,surp1,0.01,0
inf,0.1,surp2,0.335,0
inf,0.1,sus,0.145,0
inf,0.3,surp1,0.03,0
inf,0.3,surp2,0.17,0
inf,0.3,sus,0.075,0
inf,0.5,surp1,0.035,0
inf,0.5,surp2,0.085,0
inf,0.5,sus,0.165,0
inf,0.7,surp1,0.03,0
inf,0.7,surp2,0.235,0
inf,0.7,sus,0.115,0
inf,0.9,surp1,0.005,0
inf,0.9,surp2,0.33,0
inf,0.9,sus,0.13,0
low,0.5,surp1,1.0,0
low,0.5,surp2,0.995,0
low,0.5,sus,1.0,0
high,0.5,surp1,1.0,3
high,0.5,surp2,0.985,3
high,0.5,sus,1.0,3
inf,0.1,surp1,0.0,3
inf,0.1,surp2,0.285,3
inf,0.1,sus,0.14,3
inf,0.3,surp1,0.01,3
inf,0.3,surp2,0.155,3
inf,0.3,sus,0.065,3
inf,0.5,surp1,0.005,3
inf,0.5,surp2,0.085,3
inf,0.5,sus,0.14,3
inf,0.7,surp1,0.01,3
inf,0.7,surp2,0.225,3
inf,0.7,sus,0.09,3
inf,0.9,surp1,0.005,3
inf,0.9,surp2,0.305,3
inf,0.9,sus,0.115,3
low,0.5,surp1,1.0,3
low,0.5,surp2,0.995,3
low,0.5,sus,1.0,3
high,0.5,surp1,1.0,5
high,0.5,surp2,0.985,5
high,0.5,sus,1.0,5
inf,0.1,surp1,0.0,5
inf,0.1,surp2,0.27,5
inf,0.1,sus,0.135,5
inf,0.3,surp1,0.005,5
inf,0.3,surp2,0.155,5
inf,0.3,sus,0.055,5
inf,0.5,surp1,0.005,5
inf,0.5,surp2,0.085,5
inf,0.5,sus,0.13,5
inf,0.7,surp1,0.01,5
inf,0.7,surp2,0.21,5
inf,0.7,sus,0.09,5
inf,0.9,surp1,0.005,5
inf,0.9,surp2,0.3,5
inf,0.9,sus,0.11,5
low,0.5,surp1,1.0,5
low,0.5,surp2,0.995,5
low,0.5,sus,1.0,5
high,0.5,surp1,1.0,10
high,0.5,surp2,0.985,10
high,0.5,sus,1.0,10
inf,0.1,surp1,0.0,10
inf,0.1,surp2,0.25,10
inf,0.1,sus,0.135,10
inf,0.3,surp1,0.005,10
inf,0.3,surp2,0.145,10
inf,0.3,sus,0.035,10
inf,0.5,surp1,0.0,10
inf,0.5,surp2,0.08,10
inf,0.5,sus,0.11,10
inf,0.7,surp1,0.005,10
inf,0.7,surp2,0.195,10
inf,0.7,sus,0.085,10
inf,0.9,surp1,0.0,10
inf,0.9,surp2,0.235,10
inf,0.9,sus,0.1,10
low,0.5,surp1,1.0,10
low,0.5,surp2,0.995,10
low,0.5,sus,1.0,10
