theta_star,score,n_sims,fpr,tau_median,tau_p05,tau_p25,tau_p75,tau_p95,tau_frac_le_5,tau_frac_le_10
0.1,surp2,10,0.3,7.0,5.2,6.0,7.5,7.9,0.3333333333333333,1.0
0.1,surp1,10,0.0,,,,,,,
0.1,sus,10,0.0,,,,,,,
0.3,surp2,10,0.1,2.0,2.0,2.0,2.0,2.0,1.0,1.0
0.3,surp1,10,0.0,,,,,,,
0.3,sus,10,0.0,,,,,,,
0.5,surp2,10,0.0,,,,,,,
0.5,surp1,10,0.0,,,,,,,
0.5,sus,10,0.1,26.0,26.0,26.0,26.0,26.0,0.0,0.0
0.7,surp2,10,0.2,10.5,5.55,7.75,13.25,15.45,0.5,0.5
0.7,surp1,10,0.2,2.0,2.0,2.0,2.0,2.0,1.0,1.0
0.7,sus,10,0.2,2.0,2.0,2.0,2.0,2.0,1.0,1.0
0.9,surp2,10,0.2,6.0,5.1,5.5,6.5,6.9,0.5,1.0
0.9,surp1,10,0.0,,,,,,,
0.9,sus,10,0.0,,,,,,,
