psi,theta_star,score_type,rate,t_warmup
high,0.5,surp1,0.8,0
high,0.5,surp2,0.8,0
high,0.5,sus,1.0,0
inf,0.1,surp1,0.0,0
inf,0.1,surp2,0.3,0
inf,0.1,sus,0.0,0
inf,0.3,surp1,0.0,0
inf,0.3,surp2,0.1,0
inf,0.3,sus,0.0,0
inf,0.5,surp1,0.0,0
inf,0.5,surp2,0.0,0
inf,0.5,sus,0.1,0
inf,0.7,surp1,0.2,0
inf,0.7,surp2,0.2,0
inf,0.7,sus,0.2,0
inf,0.9,surp1,0.0,0
inf,0.9,surp2,0.2,0
inf,0.9,sus,0.0,0
low,0.5,surp1,0.9,0
low,0.5,surp2,0.7,0
low,0.5,sus,0.9,0
high,0.5,surp1,0.8,3
high,0.5,surp2,0.8,3
high,0.5,sus,1.0,3
inf,0.1,surp1,0.0,3
inf,0.1,surp2,0.3,3
inf,0.1,sus,0.0,3
inf,0.3,surp1,0.0,3
inf,0.3,surp2,0.1,3
inf,0.3,sus,0.0,3
inf,0.5,surp1,0.0,3
inf,0.5,surp2,0.0,3
inf,0.5,sus,0.1,3
inf,0.7,surp1,0.0,3
inf,0.7,surp2,0.2,3
inf,0.7,sus,0.2,3
inf,0.9,surp1,0.0,3
inf,0.9,surp2,0.2,3
inf,0.9,sus,0.0,3
low,0.5,surp1,0.9,3
low,0.5,surp2,0.7,3
low,0.5,sus,0.9,3
high,0.5,surp1,0.8,5
high,0.5,surp2,0.8,5
high,0.5,sus,1.0,5
inf,0.1,surp1,0.0,5
inf,0.1,surp2,0.3,5
inf,0.1,sus,0.0,5
inf,0.3,surp1,0.0,5
inf,0.3,surp2,0.0,5
inf,0.3,sus,0.0,5
inf,0.5,surp1,0.0,5
inf,0.5,surp2,0.0,5
inf,0.5,sus,0.1,5
inf,0.7,surp1,0.0,5
inf,0.7,surp2,0.2,5
inf,0.7,sus,0.2,5
inf,0.9,surp1,0.0,5
inf,0.9,surp2,0.2,5
inf,0.9,sus,0.0,5
low,0.5,surp1,0.9,5
low,0.5,surp2,0.7,5
low,0.5,sus,0.9,5
high,0.5,surp1,0.8,10
high,0.5,surp2,0.8,10
high,0.5,sus,1.0,10
inf,0.1,surp1,0.0,10
inf,0.1,surp2,0.2,10
inf,0.1,sus,0.0,10
inf,0.3,surp1,0.0,10
inf,0.3,surp2,0.0,10
inf,0.3,sus,0.0,10
inf,0.5,surp1,0.0,10
inf,0.5,surp2,0.0,10
inf,0.5,sus,0.1,10
inf,0.7,surp1,0.0,10
inf,0.7,surp2,0.2,10
inf,0.7,sus,0.1,10
inf,0.9,surp1,0.0,10
inf,0.9,surp2,0.2,10
inf,0.9,sus,0.0,10
low,0.5,surp1,0.9,10
low,0.5,surp2,0.6,10
low,0.5,sus,0.9,10
