theta_star,score,score_t1,score_t5,score_t20,score_t150,sus150
0.1,surp1,0.1552,0.1151,-0.0234,-0.0436,0.0124
0.2,surp1,-0.0189,0.0258,-0.0141,0.0068,-0.0015
0.3,surp1,-0.1935,-0.0748,-0.0381,-0.0092,-0.0012
0.4,surp1,-0.2738,-0.0416,-0.0088,-0.069,0.0026
0.5,surp1,-0.2425,-0.0639,0.0064,-0.0174,-0.0063
0.6,surp1,-0.2759,-0.0384,-0.063,-0.022,-0.011
0.7,surp1,-0.1873,0.0096,0.0533,0.0172,0.0009
0.8,surp1,-0.1049,0.0127,0.0767,0.0362,0.0019
0.9,surp1,0.1605,0.1563,0.0083,0.0306,0.0065
0.1,surp2,0.0184,-0.0164,-0.0149,-0.0691,0.0039
0.2,surp2,0.0424,-0.0361,-0.0038,0.007,0.0011
0.3,surp2,0.0208,0.0392,0.0101,-0.0028,0.0028
0.4,surp2,-0.0266,-0.0151,0.0246,-0.0581,0.0057
0.5,surp2,0.0493,-0.0554,0.0197,-0.021,0.0005
0.6,surp2,-0.0079,-0.0067,-0.0051,0.0212,-0.0005
0.7,surp2,0.0164,0.0114,0.0168,-0.0122,0.004
0.8,surp2,0.0451,0.0335,-0.0053,0.008,0.0009
0.9,surp2,0.0722,-0.0282,-0.0539,0.0656,-0.0022
