score,c,false_alarm,power_pers_up,power_pers_down,median_tau,p25_tau,p75_tau,frac_detected_by_10
surp1,2.0,0.2335,0.7431,0.7398,3.0,1.0,11.0,0.7487
surp1,2.5,0.1213,0.6992,0.7004,4.0,1.0,14.0,0.7093
surp1,3.0,0.0694,0.6666,0.6689,4.0,1.0,17.0,0.6749
surp1,3.5,0.0343,0.6351,0.6358,5.0,2.0,21.0,0.6425
surp1,4.0,0.0187,0.6061,0.6079,5.0,1.0,23.0,0.6213
surp1,5.0,0.0046,0.5564,0.5592,6.0,1.0,28.0,0.5841
surp2,2.0,0.2186,0.9958,0.9948,2.0,1.0,7.0,0.7986
surp2,2.5,0.1278,0.9886,0.9876,3.0,1.0,12.0,0.7273
surp2,3.0,0.0654,0.9739,0.9704,4.0,1.0,20.0,0.6567
surp2,3.5,0.0309,0.9469,0.9466,5.0,2.0,27.0,0.6063
surp2,4.0,0.019,0.9105,0.9114,6.0,2.0,34.0,0.5752
surp2,5.0,0.0113,0.8297,0.8263,7.0,1.0,43.0,0.5491
