theta_star,score,false_alarm,power,median_tau,sus150_persuasive,sus150_inf
0.1,surp1,0.015,0.8525,51.0,0.3512,0.0124
0.2,surp1,0.03,0.14,13.0,-0.0361,-0.0015
0.3,surp1,0.02,0.185,22.0,-0.0406,-0.0012
0.4,surp1,0.015,0.495,37.0,0.2006,0.0026
0.5,surp1,0.03,0.94,49.0,0.4606,-0.0063
0.6,surp1,0.035,0.4875,36.0,0.1922,-0.011
0.7,surp1,0.035,0.175,20.0,-0.0472,0.0009
0.8,surp1,0.015,0.125,12.0,-0.0359,0.0019
0.9,surp1,0.035,0.8575,46.0,0.3568,0.0065
0.1,surp2,0.01,1.0,18.5,0.4639,0.0039
0.2,surp2,0.015,0.895,18.5,0.1126,0.0011
0.3,surp2,0.005,0.7975,10.0,0.1272,0.0028
0.4,surp2,0.015,0.9925,16.0,0.3984,0.0057
0.5,surp2,0.015,1.0,13.5,0.732,0.0005
0.6,surp2,0.0,0.9875,15.0,0.3938,-0.0005
0.7,surp2,0.01,0.7875,10.0,0.1193,0.004
0.8,surp2,0.015,0.875,19.5,0.1109,0.0009
0.9,surp2,0.02,0.9975,17.0,0.4728,-0.0022
