psi,theta_star,score_type,rate,variance_kind,t_warmup
high,0.5,surp2,1.0,exact,0
high,0.5,sus_1,1.0,exact,0
inf,0.1,surp2,0.3,exact,0
inf,0.1,sus_1,0.205,exact,0
inf,0.3,surp2,0.23,exact,0
inf,0.3,sus_1,0.135,exact,0
inf,0.5,surp2,0.14,exact,0
inf,0.5,sus_1,0.225,exact,0
inf,0.7,surp2,0.23,exact,0
inf,0.7,sus_1,0.195,exact,0
inf,0.9,surp2,0.3,exact,0
inf,0.9,sus_1,0.21,exact,0
low,0.5,surp2,0.985,exact,0
low,0.5,sus_1,1.0,exact,0
high,0.5,surp2,1.0,exact,5
high,0.5,sus_1,1.0,exact,5
inf,0.1,surp2,0.24,exact,5
inf,0.1,sus_1,0.19,exact,5
inf,0.3,surp2,0.17,exact,5
inf,0.3,sus_1,0.115,exact,5
inf,0.5,surp2,0.125,exact,5
inf,0.5,sus_1,0.175,exact,5
inf,0.7,surp2,0.2,exact,5
inf,0.7,sus_1,0.175,exact,5
inf,0.9,surp2,0.215,exact,5
inf,0.9,sus_1,0.195,exact,5
low,0.5,surp2,0.985,exact,5
low,0.5,sus_1,1.0,exact,5
high,0.5,surp2,1.0,exact,10
high,0.5,sus_1,1.0,exact,10
inf,0.1,surp2,0.21,exact,10
inf,0.1,sus_1,0.18,exact,10
inf,0.3,surp2,0.155,exact,10
inf,0.3,sus_1,0.09,exact,10
inf,0.5,surp2,0.105,exact,10
inf,0.5,sus_1,0.15,exact,10
inf,0.7,surp2,0.175,exact,10
inf,0.7,sus_1,0.15,exact,10
inf,0.9,surp2,0.195,exact,10
inf,0.9,sus_1,0.18,exact,10
low,0.5,surp2,0.985,exact,10
low,0.5,sus_1,1.0,exact,10
