psi,theta_star,score_type,rate,variance_kind,t_warmup
high,0.5,surp2,0.7,naive,0
high,0.5,sus_1,1.0,naive,0
high,0.5,sus_3,1.0,naive,0
high,0.5,sus_4,1.0,naive,0
high,0.5,sus_4b,1.0,naive,0
inf,0.1,surp2,0.2,naive,0
inf,0.1,sus_1,0.1,naive,0
inf,0.1,sus_3,0.9,naive,0
inf,0.1,sus_4,0.8,naive,0
inf,0.1,sus_4b,0.8,naive,0
inf,0.3,surp2,0.4,naive,0
inf,0.3,sus_1,0.0,naive,0
inf,0.3,sus_3,1.0,naive,0
inf,0.3,sus_4,1.0,naive,0
inf,0.3,sus_4b,1.0,naive,0
inf,0.5,surp2,0.1,naive,0
inf,0.5,sus_1,0.3,naive,0
inf,0.5,sus_3,1.0,naive,0
inf,0.5,sus_4,1.0,naive,0
inf,0.5,sus_4b,0.9,naive,0
inf,0.7,surp2,0.2,naive,0
inf,0.7,sus_1,0.3,naive,0
inf,0.7,sus_3,1.0,naive,0
inf,0.7,sus_4,1.0,naive,0
inf,0.7,sus_4b,1.0,naive,0
inf,0.9,surp2,0.1,naive,0
inf,0.9,sus_1,0.0,naive,0
inf,0.9,sus_3,0.6,naive,0
inf,0.9,sus_4,0.6,naive,0
inf,0.9,sus_4b,0.6,naive,0
low,0.5,surp2,0.4,naive,0
low,0.5,sus_1,1.0,naive,0
low,0.5,sus_3,1.0,naive,0
low,0.5,sus_4,1.0,naive,0
low,0.5,sus_4b,1.0,naive,0
high,0.5,surp2,0.6,naive,5
high,0.5,sus_1,1.0,naive,5
high,0.5,sus_3,1.0,naive,5
high,0.5,sus_4,1.0,naive,5
high,0.5,sus_4b,1.0,naive,5
inf,0.1,surp2,0.2,naive,5
inf,0.1,sus_1,0.1,naive,5
inf,0.1,sus_3,0.9,naive,5
inf,0.1,sus_4,0.8,naive,5
inf,0.1,sus_4b,0.8,naive,5
inf,0.3,surp2,0.4,naive,5
inf,0.3,sus_1,0.0,naive,5
inf,0.3,sus_3,1.0,naive,5
inf,0.3,sus_4,1.0,naive,5
inf,0.3,sus_4b,1.0,naive,5
inf,0.5,surp2,0.1,naive,5
inf,0.5,sus_1,0.2,naive,5
inf,0.5,sus_3,0.8,naive,5
inf,0.5,sus_4,0.8,naive,5
inf,0.5,sus_4b,0.5,naive,5
