score_type_,ratio_naive_mean,ratio_naive_median,ratio_corrected_mean,ratio_corrected_median,level
surp2,1.1746412786921954,1.0529130091915362,1.1746412786921954,1.0529130091915362,per_round
sus_1,0.7786341781816798,0.7757584279257117,0.9191739627336807,0.8921684218336806,per_round
sus_3,1.607850554075181,1.659606226779497,inf,inf,per_round
sus_4,1.7057092358659458,1.684870612689433,inf,inf,per_round
sus_4b,1.5373565156721876,1.5142047950825306,inf,inf,per_round
surp2,0.9557690010599746,0.9329635728922678,0.9557690010599746,0.9329635728922678,running
sus_1,0.9413042815159947,0.9511917632123242,1.139603282191102,1.1462985282330953,running
sus_3,3.45173489099766,3.582983575306926,inf,10445.376426585768,running
sus_4,4.118342576666608,4.235212193363104,inf,inf,running
sus_4b,3.3687029828617927,3.4882967291215348,inf,inf,running
