theta_star,psi_star,alpha,c,switch_type,rate_B,n_B,median_tau_B,study_B,rate_C1,n_C1,median_tau_C1,study_C1,rate_diff,tau_diff
0.1,high,1.5,2.0,hard,1.0,60,16.5,B,1.0,60,22.5,C1,0.0,-6.0
0.1,high,1.5,2.0,soft,1.0,60,17.5,B,1.0,60,22.5,C1,0.0,-5.0
0.1,high,1.5,3.5,hard,0.9,60,65.0,B,0.9,60,74.0,C1,0.0,-9.0
0.1,high,1.5,3.5,soft,1.0,60,64.0,B,0.9,60,74.0,C1,0.09999999999999998,-10.0
0.1,high,3.0,2.0,hard,1.0,60,2.0,B,1.0,60,2.0,C1,0.0,0.0
0.1,high,3.0,2.0,soft,1.0,60,2.0,B,1.0,60,2.0,C1,0.0,0.0
0.1,high,3.0,3.5,hard,1.0,60,29.5,B,1.0,60,18.5,C1,0.0,11.0
0.1,high,3.0,3.5,soft,1.0,60,19.5,B,1.0,60,18.5,C1,0.0,1.0
0.1,high,10.0,2.0,hard,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.1,high,10.0,2.0,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.1,high,10.0,3.5,hard,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.1,high,10.0,3.5,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.1,inf,1.5,2.0,hard,0.06666666666666667,60,57.0,B,0.15,60,38.0,C1,-0.08333333333333333,19.0
0.1,inf,1.5,2.0,soft,0.21666666666666667,60,44.0,B,0.15,60,38.0,C1,0.06666666666666668,6.0
0.1,inf,1.5,3.5,hard,0.0,60,,B,0.0,60,,C1,0.0,
0.1,inf,1.5,3.5,soft,0.0,60,,B,0.0,60,,C1,0.0,
0.1,inf,3.0,2.0,hard,0.9333333333333333,60,30.5,B,0.9,60,48.0,C1,0.033333333333333326,-17.5
0.1,inf,3.0,2.0,soft,0.9666666666666667,60,34.0,B,0.9,60,48.0,C1,0.06666666666666665,-14.0
0.1,inf,3.0,3.5,hard,0.6,60,71.0,B,0.4166666666666667,60,106.0,C1,0.1833333333333333,-35.0
0.1,inf,3.0,3.5,soft,0.5833333333333334,60,106.0,B,0.4166666666666667,60,106.0,C1,0.16666666666666669,0.0
0.1,inf,10.0,2.0,hard,1.0,60,3.0,B,1.0,60,10.0,C1,0.0,-7.0
0.1,inf,10.0,2.0,soft,1.0,60,4.0,B,1.0,60,10.0,C1,0.0,-6.0
0.1,inf,10.0,3.5,hard,1.0,60,5.0,B,1.0,60,17.0,C1,0.0,-12.0
0.1,inf,10.0,3.5,soft,1.0,60,5.0,B,1.0,60,17.0,C1,0.0,-12.0
0.1,low,1.5,2.0,hard,1.0,60,20.0,B,1.0,60,26.5,C1,0.0,-6.5
0.1,low,1.5,2.0,soft,1.0,60,20.0,B,1.0,60,26.5,C1,0.0,-6.5
0.1,low,1.5,3.5,hard,0.9333333333333333,60,71.0,B,0.95,60,72.0,C1,-0.016666666666666607,-1.0
0.1,low,1.5,3.5,soft,0.9166666666666666,60,63.0,B,0.95,60,72.0,C1,-0.033333333333333326,-9.0
0.1,low,3.0,2.0,hard,1.0,60,9.0,B,1.0,60,11.0,C1,0.0,-2.0
0.1,low,3.0,2.0,soft,1.0,60,12.0,B,1.0,60,11.0,C1,0.0,1.0
0.1,low,3.0,3.5,hard,1.0,60,24.5,B,1.0,60,25.0,C1,0.0,-0.5
0.1,low,3.0,3.5,soft,1.0,60,24.5,B,1.0,60,25.0,C1,0.0,-0.5
0.1,low,10.0,2.0,hard,1.0,60,3.0,B,1.0,60,3.0,C1,0.0,0.0
0.1,low,10.0,2.0,soft,1.0,60,3.0,B,1.0,60,3.0,C1,0.0,0.0
0.1,low,10.0,3.5,hard,1.0,60,5.0,B,1.0,60,4.0,C1,0.0,1.0
0.1,low,10.0,3.5,soft,1.0,60,4.0,B,1.0,60,4.0,C1,0.0,0.0
0.3,high,1.5,2.0,hard,0.9833333333333333,60,9.0,B,0.9833333333333333,60,13.0,C1,0.0,-4.0
0.3,high,1.5,2.0,soft,0.9666666666666667,60,15.5,B,0.9833333333333333,60,13.0,C1,-0.016666666666666607,2.5
0.3,high,1.5,3.5,hard,0.7166666666666667,60,77.0,B,0.7333333333333333,60,57.0,C1,-0.016666666666666607,20.0
0.3,high,1.5,3.5,soft,0.8166666666666667,60,65.0,B,0.7333333333333333,60,57.0,C1,0.08333333333333337,8.0
0.3,high,3.0,2.0,hard,0.9666666666666667,60,2.0,B,1.0,60,2.0,C1,-0.033333333333333326,0.0
0.3,high,3.0,2.0,soft,0.9666666666666667,60,2.0,B,1.0,60,2.0,C1,-0.033333333333333326,0.0
0.3,high,3.0,3.5,hard,0.9,60,13.5,B,0.8666666666666667,60,7.5,C1,0.033333333333333326,6.0
0.3,high,3.0,3.5,soft,0.8,60,8.0,B,0.8666666666666667,60,7.5,C1,-0.06666666666666665,0.5
0.3,high,10.0,2.0,hard,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.3,high,10.0,2.0,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.3,high,10.0,3.5,hard,0.9833333333333333,60,1.0,B,1.0,60,1.0,C1,-0.01666666666666672,0.0
0.3,high,10.0,3.5,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.3,inf,1.5,2.0,hard,0.4166666666666667,60,24.0,B,0.13333333333333333,60,5.5,C1,0.2833333333333333,18.5
0.3,inf,1.5,2.0,soft,0.4,60,26.5,B,0.13333333333333333,60,5.5,C1,0.2666666666666667,21.0
0.3,inf,1.5,3.5,hard,0.016666666666666666,60,117.0,B,0.016666666666666666,60,48.0,C1,0.0,69.0
0.3,inf,1.5,3.5,soft,0.0,60,,B,0.016666666666666666,60,48.0,C1,-0.016666666666666666,
0.3,inf,3.0,2.0,hard,0.7833333333333333,60,41.0,B,0.6666666666666666,60,48.5,C1,0.1166666666666667,-7.5
0.3,inf,3.0,2.0,soft,0.8166666666666667,60,27.0,B,0.6666666666666666,60,48.5,C1,0.15000000000000002,-21.5
0.3,inf,3.0,3.5,hard,0.31666666666666665,60,70.0,B,0.2,60,104.0,C1,0.11666666666666664,-34.0
0.3,inf,3.0,3.5,soft,0.4166666666666667,60,64.0,B,0.2,60,104.0,C1,0.21666666666666667,-40.0
0.3,inf,10.0,2.0,hard,1.0,60,5.0,B,1.0,60,12.0,C1,0.0,-7.0
0.3,inf,10.0,2.0,soft,1.0,60,4.0,B,1.0,60,12.0,C1,0.0,-8.0
0.3,inf,10.0,3.5,hard,1.0,60,8.0,B,0.9666666666666667,60,39.0,C1,0.033333333333333326,-31.0
0.3,inf,10.0,3.5,soft,1.0,60,7.0,B,0.9666666666666667,60,39.0,C1,0.033333333333333326,-32.0
0.3,low,1.5,2.0,hard,0.9666666666666667,60,35.0,B,0.9666666666666667,60,36.0,C1,0.0,-1.0
0.3,low,1.5,2.0,soft,1.0,60,24.0,B,0.9666666666666667,60,36.0,C1,0.033333333333333326,-12.0
0.3,low,1.5,3.5,hard,0.6,60,88.5,B,0.65,60,97.0,C1,-0.050000000000000044,-8.5
0.3,low,1.5,3.5,soft,0.6666666666666666,60,94.0,B,0.65,60,97.0,C1,0.016666666666666607,-3.0
0.3,low,3.0,2.0,hard,0.95,60,9.0,B,0.9166666666666666,60,10.0,C1,0.033333333333333326,-1.0
0.3,low,3.0,2.0,soft,0.9666666666666667,60,11.5,B,0.9166666666666666,60,10.0,C1,0.050000000000000044,1.5
0.3,low,3.0,3.5,hard,0.6666666666666666,60,70.0,B,0.7166666666666667,60,33.0,C1,-0.050000000000000044,37.0
0.3,low,3.0,3.5,soft,0.5833333333333334,60,58.0,B,0.7166666666666667,60,33.0,C1,-0.1333333333333333,25.0
0.3,low,10.0,2.0,hard,1.0,60,3.0,B,1.0,60,5.0,C1,0.0,-2.0
0.3,low,10.0,2.0,soft,1.0,60,2.0,B,1.0,60,5.0,C1,0.0,-3.0
0.3,low,10.0,3.5,hard,1.0,60,9.0,B,1.0,60,9.5,C1,0.0,-0.5
0.3,low,10.0,3.5,soft,1.0,60,3.0,B,1.0,60,9.5,C1,0.0,-6.5
0.5,high,1.5,2.0,hard,1.0,60,12.0,B,1.0,60,11.0,C1,0.0,1.0
0.5,high,1.5,2.0,soft,1.0,60,11.5,B,1.0,60,11.0,C1,0.0,0.5
0.5,high,1.5,3.5,hard,0.9833333333333333,60,59.0,B,1.0,60,50.5,C1,-0.01666666666666672,8.5
0.5,high,1.5,3.5,soft,1.0,60,52.0,B,1.0,60,50.5,C1,0.0,1.5
0.5,high,3.0,2.0,hard,1.0,60,5.0,B,1.0,60,5.0,C1,0.0,0.0
0.5,high,3.0,2.0,soft,1.0,60,5.5,B,1.0,60,5.0,C1,0.0,0.5
0.5,high,3.0,3.5,hard,1.0,60,12.0,B,1.0,60,18.0,C1,0.0,-6.0
0.5,high,3.0,3.5,soft,1.0,60,16.5,B,1.0,60,18.0,C1,0.0,-1.5
0.5,high,10.0,2.0,hard,1.0,60,3.0,B,1.0,60,1.0,C1,0.0,2.0
0.5,high,10.0,2.0,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.5,high,10.0,3.5,hard,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.5,high,10.0,3.5,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.5,inf,1.5,2.0,hard,0.08333333333333333,60,22.0,B,0.11666666666666667,60,16.0,C1,-0.03333333333333334,6.0
0.5,inf,1.5,2.0,soft,0.18333333333333332,60,18.0,B,0.11666666666666667,60,16.0,C1,0.06666666666666665,2.0
0.5,inf,1.5,3.5,hard,0.0,60,,B,0.0,60,,C1,0.0,
0.5,inf,1.5,3.5,soft,0.0,60,,B,0.0,60,,C1,0.0,
0.5,inf,3.0,2.0,hard,0.25,60,21.0,B,0.15,60,46.0,C1,0.1,-25.0
0.5,inf,3.0,2.0,soft,0.2833333333333333,60,30.0,B,0.15,60,46.0,C1,0.13333333333333333,-16.0
0.5,inf,3.0,3.5,hard,0.016666666666666666,60,10.0,B,0.0,60,,C1,0.016666666666666666,
0.5,inf,3.0,3.5,soft,0.0,60,,B,0.0,60,,C1,0.0,
0.5,inf,10.0,2.0,hard,1.0,60,6.0,B,0.9666666666666667,60,8.0,C1,0.033333333333333326,-2.0
0.5,inf,10.0,2.0,soft,1.0,60,5.5,B,0.9666666666666667,60,8.0,C1,0.033333333333333326,-2.5
0.5,inf,10.0,3.5,hard,1.0,60,6.5,B,0.95,60,11.0,C1,0.050000000000000044,-4.5
0.5,inf,10.0,3.5,soft,0.9833333333333333,60,6.0,B,0.95,60,11.0,C1,0.033333333333333326,-5.0
0.5,low,1.5,2.0,hard,1.0,60,15.5,B,1.0,60,15.5,C1,0.0,0.0
0.5,low,1.5,2.0,soft,1.0,60,18.5,B,1.0,60,15.5,C1,0.0,3.0
0.5,low,1.5,3.5,hard,1.0,60,52.5,B,0.9833333333333333,60,49.0,C1,0.01666666666666672,3.5
0.5,low,1.5,3.5,soft,0.9833333333333333,60,53.0,B,0.9833333333333333,60,49.0,C1,0.0,4.0
0.5,low,3.0,2.0,hard,1.0,60,6.0,B,1.0,60,6.0,C1,0.0,0.0
0.5,low,3.0,2.0,soft,1.0,60,7.0,B,1.0,60,6.0,C1,0.0,1.0
0.5,low,3.0,3.5,hard,1.0,60,13.0,B,1.0,60,15.0,C1,0.0,-2.0
0.5,low,3.0,3.5,soft,1.0,60,16.0,B,1.0,60,15.0,C1,0.0,1.0
0.5,low,10.0,2.0,hard,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.5,low,10.0,2.0,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.5,low,10.0,3.5,hard,1.0,60,2.0,B,1.0,60,1.0,C1,0.0,1.0
0.5,low,10.0,3.5,soft,1.0,60,1.0,B,1.0,60,1.0,C1,0.0,0.0
0.7,high,1.5,2.0,hard,0.9833333333333333,60,25.0,B,0.9833333333333333,60,22.0,C1,0.0,3.0
0.7,high,1.5,2.0,soft,1.0,60,22.0,B,0.9833333333333333,60,22.0,C1,0.01666666666666672,0.0
0.7,high,1.5,3.5,hard,0.65,60,99.0,B,0.6333333333333333,60,92.0,C1,0.01666666666666672,7.0
0.7,high,1.5,3.5,soft,0.65,60,99.0,B,0.6333333333333333,60,92.0,C1,0.01666666666666672,7.0
0.7,high,3.0,2.0,hard,0.9666666666666667,60,12.0,B,0.9,60,19.0,C1,0.06666666666666665,-7.0
0.7,high,3.0,2.0,soft,1.0,60,9.0,B,0.9,60,19.0,C1,0.09999999999999998,-10.0
0.7,high,3.0,3.5,hard,0.75,60,55.0,B,0.6166666666666667,60,84.0,C1,0.1333333333333333,-29.0
0.7,high,3.0,3.5,soft,0.6333333333333333,60,50.5,B,0.6166666666666667,60,84.0,C1,0.016666666666666607,-33.5
0.7,high,10.0,2.0,hard,1.0,60,6.0,B,1.0,60,4.0,C1,0.0,2.0
0.7,high,10.0,2.0,soft,1.0,60,2.0,B,1.0,60,4.0,C1,0.0,-2.0
0.7,high,10.0,3.5,hard,1.0,60,9.0,B,1.0,60,8.0,C1,0.0,1.0
0.7,high,10.0,3.5,soft,1.0,60,4.0,B,1.0,60,8.0,C1,0.0,-4.0
0.7,inf,1.5,2.0,hard,0.3,60,32.5,B,0.26666666666666666,60,16.0,C1,0.033333333333333326,16.5
0.7,inf,1.5,2.0,soft,0.2833333333333333,60,50.0,B,0.26666666666666666,60,16.0,C1,0.016666666666666663,34.0
0.7,inf,1.5,3.5,hard,0.0,60,,B,0.016666666666666666,60,98.0,C1,-0.016666666666666666,
0.7,inf,1.5,3.5,soft,0.016666666666666666,60,140.0,B,0.016666666666666666,60,98.0,C1,0.0,42.0
