theta_star,psi,alpha,c,rate,median_tau,n
0.1,inf,1.5,2.0,0.18,25.0,200
0.1,inf,1.5,3.5,0.0,,200
0.1,inf,3.0,2.0,0.125,27.0,200
0.1,inf,3.0,3.5,0.01,38.5,200
0.1,inf,5.0,2.0,0.225,10.0,200
0.1,inf,5.0,3.5,0.025,30.0,200
0.1,inf,10.0,2.0,0.265,7.0,200
0.1,inf,10.0,3.5,0.085,7.0,200
0.1,pers+,1.5,2.0,1.0,6.0,200
0.1,pers+,1.5,3.5,0.925,69.0,200
0.1,pers+,3.0,2.0,1.0,2.0,200
0.1,pers+,3.0,3.5,1.0,14.0,200
0.1,pers+,5.0,2.0,1.0,1.0,200
0.1,pers+,5.0,3.5,1.0,2.0,200
0.1,pers+,10.0,2.0,1.0,1.0,200
0.1,pers+,10.0,3.5,1.0,1.0,200
0.1,pers-,1.5,2.0,1.0,21.5,200
0.1,pers-,1.5,3.5,0.97,59.0,200
0.1,pers-,3.0,2.0,1.0,9.0,200
0.1,pers-,3.0,3.5,1.0,20.0,200
0.1,pers-,5.0,2.0,1.0,3.0,200
0.1,pers-,5.0,3.5,1.0,10.0,200
0.1,pers-,10.0,2.0,1.0,3.0,200
0.1,pers-,10.0,3.5,1.0,3.0,200
0.3,inf,1.5,2.0,0.315,8.0,200
0.3,inf,1.5,3.5,0.005,76.0,200
0.3,inf,3.0,2.0,0.18,7.5,200
0.3,inf,3.0,3.5,0.005,4.0,200
0.3,inf,5.0,2.0,0.25,1.0,200
0.3,inf,5.0,3.5,0.045,4.0,200
0.3,inf,10.0,2.0,0.275,7.0,200
0.3,inf,10.0,3.5,0.07,2.0,200
0.3,pers+,1.5,2.0,0.985,7.0,200
0.3,pers+,1.5,3.5,0.775,75.0,200
0.3,pers+,3.0,2.0,0.995,2.0,200
0.3,pers+,3.0,3.5,0.985,4.0,200
0.3,pers+,5.0,2.0,1.0,1.0,200
0.3,pers+,5.0,3.5,0.995,2.0,200
0.3,pers+,10.0,2.0,1.0,1.0,200
0.3,pers+,10.0,3.5,1.0,1.0,200
0.3,pers-,1.5,2.0,0.985,22.0,200
0.3,pers-,1.5,3.5,0.635,84.0,200
0.3,pers-,3.0,2.0,0.92,11.0,200
0.3,pers-,3.0,3.5,0.61,59.0,200
0.3,pers-,5.0,2.0,0.995,5.0,200
0.3,pers-,5.0,3.5,0.89,16.0,200
0.3,pers-,10.0,2.0,1.0,3.0,200
0.3,pers-,10.0,3.5,1.0,3.0,200
0.5,inf,1.5,2.0,0.245,3.0,200
0.5,inf,1.5,3.5,0.0,,200
0.5,inf,3.0,2.0,0.25,8.5,200
0.5,inf,3.0,3.5,0.015,4.0,200
0.5,inf,5.0,2.0,0.275,1.0,200
0.5,inf,5.0,3.5,0.02,3.0,200
0.5,inf,10.0,2.0,0.18,16.5,200
0.5,inf,10.0,3.5,0.045,4.0,200
0.5,pers+,1.5,2.0,1.0,10.0,200
0.5,pers+,1.5,3.5,0.99,55.0,200
0.5,pers+,3.0,2.0,1.0,5.0,200
0.5,pers+,3.0,3.5,1.0,14.0,200
0.5,pers+,5.0,2.0,1.0,1.0,200
0.5,pers+,5.0,3.5,1.0,6.0,200
0.5,pers+,10.0,2.0,1.0,2.0,200
0.5,pers+,10.0,3.5,1.0,2.0,200
0.5,pers-,1.5,2.0,1.0,11.0,200
0.5,pers-,1.5,3.5,1.0,50.0,200
0.5,pers-,3.0,2.0,1.0,4.0,200
0.5,pers-,3.0,3.5,1.0,13.0,200
0.5,pers-,5.0,2.0,1.0,1.0,200
0.5,pers-,5.0,3.5,1.0,4.0,200
0.5,pers-,10.0,2.0,1.0,1.0,200
0.5,pers-,10.0,3.5,1.0,1.0,200
0.7,inf,1.5,2.0,0.29,8.0,200
0.7,inf,1.5,3.5,0.0,,200
0.7,inf,3.0,2.0,0.21,7.5,200
0.7,inf,3.0,3.5,0.01,48.5,200
0.7,inf,5.0,2.0,0.28,3.0,200
0.7,inf,5.0,3.5,0.02,38.5,200
0.7,inf,10.0,2.0,0.28,6.5,200
0.7,inf,10.0,3.5,0.055,2.0,200
0.7,pers+,1.5,2.0,0.98,21.0,200
0.7,pers+,1.5,3.5,0.635,86.0,200
0.7,pers+,3.0,2.0,0.925,13.0,200
0.7,pers+,3.0,3.5,0.635,38.0,200
0.7,pers+,5.0,2.0,1.0,6.0,200
0.7,pers+,5.0,3.5,0.94,21.5,200
0.7,pers+,10.0,2.0,1.0,2.0,200
0.7,pers+,10.0,3.5,1.0,2.0,200
0.7,pers-,1.5,2.0,0.99,6.0,200
0.7,pers-,1.5,3.5,0.81,70.0,200
0.7,pers-,3.0,2.0,1.0,2.0,200
0.7,pers-,3.0,3.5,0.94,4.0,200
0.7,pers-,5.0,2.0,1.0,1.0,200
0.7,pers-,5.0,3.5,1.0,2.0,200
0.7,pers-,10.0,2.0,1.0,1.0,200
