psi_star,alpha,c,switch_type,rate,n,median_tau,mean_tau
high,1.5,2.0,hard,0.992,500,17.0,25.97782258064516
high,1.5,2.0,hard_amnesic,0.992,500,17.0,25.97782258064516
high,1.5,2.0,soft,0.992,500,17.0,25.97782258064516
high,1.5,3.5,hard,0.832,500,66.0,69.15865384615384
high,1.5,3.5,hard_amnesic,0.832,500,66.0,69.15865384615384
high,1.5,3.5,soft,0.832,500,66.0,69.15865384615384
high,3.0,2.0,hard,0.982,500,5.0,12.828920570264765
high,3.0,2.0,hard_amnesic,0.982,500,5.0,12.828920570264765
high,3.0,2.0,soft,0.982,500,5.0,12.828920570264765
high,3.0,3.5,hard,0.896,500,18.0,27.319196428571427
high,3.0,3.5,hard_amnesic,0.896,500,18.0,27.319196428571427
high,3.0,3.5,soft,0.896,500,18.0,27.319196428571427
high,5.0,2.0,hard,0.996,500,1.0,5.636546184738956
high,5.0,2.0,hard_amnesic,0.996,500,1.0,5.636546184738956
high,5.0,2.0,soft,0.996,500,1.0,5.636546184738956
high,5.0,3.5,hard,0.986,500,1.0,10.9026369168357
high,5.0,3.5,hard_amnesic,0.986,500,1.0,10.9026369168357
high,5.0,3.5,soft,0.986,500,1.0,10.9026369168357
high,10.0,2.0,hard,1.0,500,1.0,2.802
high,10.0,2.0,hard_amnesic,1.0,500,1.0,2.802
high,10.0,2.0,soft,1.0,500,1.0,2.802
high,10.0,3.5,hard,1.0,500,1.0,4.436
high,10.0,3.5,hard_amnesic,1.0,500,1.0,4.436
high,10.0,3.5,soft,1.0,500,1.0,4.436
inf,1.5,2.0,hard,0.198,500,15.0,29.525252525252526
inf,1.5,2.0,hard_amnesic,0.198,500,15.0,29.525252525252526
inf,1.5,2.0,soft,0.198,500,15.0,29.525252525252526
inf,1.5,3.5,hard,0.002,500,9.0,9.0
inf,1.5,3.5,hard_amnesic,0.002,500,9.0,9.0
inf,1.5,3.5,soft,0.002,500,9.0,9.0
inf,3.0,2.0,hard,0.194,500,13.0,26.061855670103093
inf,3.0,2.0,hard_amnesic,0.194,500,13.0,26.061855670103093
inf,3.0,2.0,soft,0.194,500,13.0,26.061855670103093
inf,3.0,3.5,hard,0.004,500,54.0,54.0
inf,3.0,3.5,hard_amnesic,0.004,500,54.0,54.0
inf,3.0,3.5,soft,0.004,500,54.0,54.0
inf,5.0,2.0,hard,0.232,500,9.0,26.586206896551722
inf,5.0,2.0,hard_amnesic,0.232,500,9.0,26.586206896551722
inf,5.0,2.0,soft,0.232,500,9.0,26.586206896551722
inf,5.0,3.5,hard,0.082,500,1.0,5.975609756097561
inf,5.0,3.5,hard_amnesic,0.082,500,1.0,5.975609756097561
inf,5.0,3.5,soft,0.082,500,1.0,5.975609756097561
inf,10.0,2.0,hard,0.21,500,11.0,22.723809523809525
inf,10.0,2.0,hard_amnesic,0.21,500,11.0,22.723809523809525
inf,10.0,2.0,soft,0.21,500,11.0,22.723809523809525
inf,10.0,3.5,hard,0.044,500,10.5,16.045454545454547
inf,10.0,3.5,hard_amnesic,0.044,500,10.5,16.045454545454547
inf,10.0,3.5,soft,0.044,500,10.5,16.045454545454547
low,1.5,2.0,hard,0.99,500,19.0,27.7010101010101
low,1.5,2.0,hard_amnesic,0.99,500,19.0,27.7010101010101
low,1.5,2.0,soft,0.99,500,19.0,27.7010101010101
low,1.5,3.5,hard,0.85,500,66.0,70.15058823529412
low,1.5,3.5,hard_amnesic,0.85,500,66.0,70.15058823529412
low,1.5,3.5,soft,0.85,500,66.0,70.15058823529412
low,3.0,2.0,hard,0.98,500,6.0,13.236734693877551
low,3.0,2.0,hard_amnesic,0.98,500,6.0,13.236734693877551
low,3.0,2.0,soft,0.98,500,6.0,13.236734693877551
low,3.0,3.5,hard,0.894,500,18.0,27.192393736017898
low,3.0,3.5,hard_amnesic,0.894,500,18.0,27.192393736017898
low,3.0,3.5,soft,0.894,500,18.0,27.192393736017898
low,5.0,2.0,hard,1.0,500,1.0,6.222
low,5.0,2.0,hard_amnesic,1.0,500,1.0,6.222
low,5.0,2.0,soft,1.0,500,1.0,6.222
low,5.0,3.5,hard,0.986,500,1.0,11.54158215010142
low,5.0,3.5,hard_amnesic,0.986,500,1.0,11.54158215010142
low,5.0,3.5,soft,0.986,500,1.0,11.54158215010142
low,10.0,2.0,hard,1.0,500,1.0,2.644
low,10.0,2.0,hard_amnesic,1.0,500,1.0,2.644
low,10.0,2.0,soft,1.0,500,1.0,2.644
low,10.0,3.5,hard,1.0,500,1.0,4.238
low,10.0,3.5,hard_amnesic,1.0,500,1.0,4.238
low,10.0,3.5,soft,1.0,500,1.0,4.238
