c,switch_type,psi_star,rate,median_tau
2.0,hard,high,0.9924999999999999,3.0
2.0,hard,inf,0.20850000000000002,12.0
2.0,hard,low,0.9924999999999999,3.5
2.0,hard_amnesic,high,0.9924999999999999,3.0
2.0,hard_amnesic,inf,0.20850000000000002,12.0
2.0,hard_amnesic,low,0.9924999999999999,3.5
2.0,soft,high,0.9924999999999999,3.0
2.0,soft,inf,0.20850000000000002,12.0
2.0,soft,low,0.9924999999999999,3.5
3.5,hard,high,0.9285,9.5
3.5,hard,inf,0.033,9.75
3.5,hard,low,0.9325,9.5
3.5,hard_amnesic,high,0.9285,9.5
3.5,hard_amnesic,inf,0.033,9.75
3.5,hard_amnesic,low,0.9325,9.5
3.5,soft,high,0.9285,9.5
3.5,soft,inf,0.033,9.75
3.5,soft,low,0.9325,9.5
