psi_star,alpha,c,rate,rate_sweep
high,1.5,2.0,0.992,0.993
high,1.5,3.5,0.832,0.86
high,3.0,2.0,0.982,0.984
high,3.0,3.5,0.896,0.924
high,5.0,2.0,0.996,1.0
high,5.0,3.5,0.986,0.9869999999999999
high,10.0,2.0,1.0,1.0
high,10.0,3.5,1.0,1.0
inf,1.5,2.0,0.198,0.23399999999999999
inf,1.5,3.5,0.002,0.002
inf,3.0,2.0,0.194,0.194
inf,3.0,3.5,0.004,0.012
inf,5.0,2.0,0.232,0.26
inf,5.0,3.5,0.082,0.028000000000000004
inf,10.0,2.0,0.21,0.24300000000000002
inf,10.0,3.5,0.044,0.067
low,1.5,2.0,0.99,0.994
low,1.5,3.5,0.85,0.8710000000000001
low,3.0,2.0,0.98,0.984
low,3.0,3.5,0.894,0.909
low,5.0,2.0,1.0,0.999
low,5.0,3.5,0.986,0.978
low,10.0,2.0,1.0,1.0
low,10.0,3.5,1.0,1.0
