listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,high,1.5,2.0,hard,0.1,0.06903882252573969,0.04226275041699409,0.016390235330836733
cred,high,1.5,2.0,hard,0.3,0.02135652115265528,0.0004229095578193642,0.002306350104845478
cred,high,1.5,2.0,hard,0.5,0.06532850826780001,0.04140531599521637,0.01922699134098366
cred,high,1.5,2.0,hard,0.7,0.01695266649206481,0.002253889203071622,0.0033124354850588133
cred,high,1.5,2.0,hard,0.9,0.03496958684126538,0.018652324080467245,0.013277330703967891
cred,high,1.5,2.0,hard_amnesic,0.1,0.06903882252573969,0.04226275041699409,0.016390235330836733
cred,high,1.5,2.0,hard_amnesic,0.3,0.02135652115265528,0.0004229095578193642,0.002306350104845478
cred,high,1.5,2.0,hard_amnesic,0.5,0.06532850826780001,0.04140531599521637,0.01922699134098366
cred,high,1.5,2.0,hard_amnesic,0.7,0.01695266649206481,0.002253889203071622,0.0033124354850588133
cred,high,1.5,2.0,hard_amnesic,0.9,0.03496958684126538,0.018652324080467245,0.013277330703967891
cred,high,1.5,2.0,soft,0.1,0.06903882252573969,0.04226275041699409,0.016390235330836733
cred,high,1.5,2.0,soft,0.3,0.02135652115265528,0.0004229095578193642,0.002306350104845478
cred,high,1.5,2.0,soft,0.5,0.06532850826780001,0.04140531599521637,0.01922699134098366
cred,high,1.5,2.0,soft,0.7,0.01695266649206481,0.002253889203071622,0.0033124354850588133
cred,high,1.5,2.0,soft,0.9,0.03496958684126538,0.018652324080467245,0.013277330703967891
cred,high,1.5,3.5,hard,0.1,0.06903882252573969,0.04226275041699409,0.016390235330836733
cred,high,1.5,3.5,hard,0.3,0.02135652115265528,0.0004229095578193642,0.002306350104845478
cred,high,1.5,3.5,hard,0.5,0.06532850826780001,0.04140531599521637,0.01922699134098366
cred,high,1.5,3.5,hard,0.7,0.01695266649206481,0.002253889203071622,0.0033124354850588133
cred,high,1.5,3.5,hard,0.9,0.03496958684126538,0.018652324080467245,0.013277330703967891
cred,high,1.5,3.5,hard_amnesic,0.1,0.06903882252573969,0.04226275041699409,0.016390235330836733
cred,high,1.5,3.5,hard_amnesic,0.3,0.02135652115265528,0.0004229095578193642,0.002306350104845478
cred,high,1.5,3.5,hard_amnesic,0.5,0.06532850826780001,0.04140531599521637,0.01922699134098366
cred,high,1.5,3.5,hard_amnesic,0.7,0.01695266649206481,0.002253889203071622,0.0033124354850588133
cred,high,1.5,3.5,hard_amnesic,0.9,0.03496958684126538,0.018652324080467245,0.013277330703967891
cred,high,1.5,3.5,soft,0.1,0.06903882252573969,0.04226275041699409,0.016390235330836733
cred,high,1.5,3.5,soft,0.3,0.02135652115265528,0.0004229095578193642,0.002306350104845478
cred,high,1.5,3.5,soft,0.5,0.06532850826780001,0.04140531599521637,0.01922699134098366
cred,high,1.5,3.5,soft,0.7,0.01695266649206481,0.002253889203071622,0.0033124354850588133
cred,high,1.5,3.5,soft,0.9,0.03496958684126538,0.018652324080467245,0.013277330703967891
cred,high,3.0,2.0,hard,0.1,0.11098086564292511,0.09544281266629696,0.005366613798089475
cred,high,3.0,2.0,hard,0.3,0.02742034796118736,0.0006843160390853831,0.0023648985830368474
cred,high,3.0,2.0,hard,0.5,0.09703881828983624,0.0658873489499092,0.017387415917473847
cred,high,3.0,2.0,hard,0.7,0.017244105310837463,0.0026746243238449496,0.007027537675749045
cred,high,3.0,2.0,hard,0.9,0.07194841037392619,0.07438294827938081,0.015434796527065373
cred,high,3.0,2.0,hard_amnesic,0.1,0.11098086564292511,0.09544281266629696,0.005366613798089475
cred,high,3.0,2.0,hard_amnesic,0.3,0.02742034796118736,0.0006843160390853831,0.0023648985830368474
cred,high,3.0,2.0,hard_amnesic,0.5,0.09703881828983624,0.0658873489499092,0.017387415917473847
cred,high,3.0,2.0,hard_amnesic,0.7,0.017244105310837463,0.0026746243238449496,0.007027537675749045
cred,high,3.0,2.0,hard_amnesic,0.9,0.07194841037392619,0.07438294827938081,0.015434796527065373
cred,high,3.0,2.0,soft,0.1,0.11098086564292511,0.09544281266629696,0.005366613798089475
cred,high,3.0,2.0,soft,0.3,0.02742034796118736,0.0006843160390853831,0.0023648985830368474
cred,high,3.0,2.0,soft,0.5,0.09703881828983624,0.0658873489499092,0.017387415917473847
cred,high,3.0,2.0,soft,0.7,0.017244105310837463,0.0026746243238449496,0.007027537675749045
cred,high,3.0,2.0,soft,0.9,0.07194841037392619,0.07438294827938081,0.015434796527065373
cred,high,3.0,3.5,hard,0.1,0.11098086564292511,0.09544281266629696,0.005366613798089475
cred,high,3.0,3.5,hard,0.3,0.02742034796118736,0.0006843160390853831,0.0023648985830368474
cred,high,3.0,3.5,hard,0.5,0.09703881828983624,0.0658873489499092,0.017387415917473847
cred,high,3.0,3.5,hard,0.7,0.017244105310837463,0.0026746243238449496,0.007027537675749045
cred,high,3.0,3.5,hard,0.9,0.07194841037392619,0.07438294827938081,0.015434796527065373
cred,high,3.0,3.5,hard_amnesic,0.1,0.11098086564292511,0.09544281266629696,0.005366613798089475
cred,high,3.0,3.5,hard_amnesic,0.3,0.02742034796118736,0.0006843160390853831,0.0023648985830368474
cred,high,3.0,3.5,hard_amnesic,0.5,0.09703881828983624,0.0658873489499092,0.017387415917473847
cred,high,3.0,3.5,hard_amnesic,0.7,0.017244105310837463,0.0026746243238449496,0.007027537675749045
cred,high,3.0,3.5,hard_amnesic,0.9,0.07194841037392619,0.07438294827938081,0.015434796527065373
cred,high,3.0,3.5,soft,0.1,0.11098086564292511,0.09544281266629696,0.005366613798089475
cred,high,3.0,3.5,soft,0.3,0.02742034796118736,0.0006843160390853831,0.0023648985830368474
cred,high,3.0,3.5,soft,0.5,0.09703881828983624,0.0658873489499092,0.017387415917473847
cred,high,3.0,3.5,soft,0.7,0.017244105310837463,0.0026746243238449496,0.007027537675749045
cred,high,3.0,3.5,soft,0.9,0.07194841037392619,0.07438294827938081,0.015434796527065373
cred,high,5.0,2.0,hard,0.1,0.1265579078728954,0.09999615252017975,0.00020980365032528426
cred,high,5.0,2.0,hard,0.3,0.058138667798042304,0.0027000658512115485,0.00318661829798657
cred,high,5.0,2.0,hard,0.5,0.1184636984705925,0.09309242755174636,0.014440879677131306
cred,high,5.0,2.0,hard,0.7,0.020334289141893423,0.005221180677413981,0.007430863006811705
cred,high,5.0,2.0,hard,0.9,0.08021580703258518,0.08784299552440646,0.009448088661379188
cred,high,5.0,2.0,hard_amnesic,0.1,0.1265579078728954,0.09999615252017975,0.00020980365032528426
cred,high,5.0,2.0,hard_amnesic,0.3,0.058138667798042304,0.0027000658512115485,0.00318661829798657
cred,high,5.0,2.0,hard_amnesic,0.5,0.1184636984705925,0.09309242755174636,0.014440879677131306
cred,high,5.0,2.0,hard_amnesic,0.7,0.020334289141893423,0.005221180677413981,0.007430863006811705
cred,high,5.0,2.0,hard_amnesic,0.9,0.08021580703258518,0.08784299552440646,0.009448088661379188
cred,high,5.0,2.0,soft,0.1,0.1265579078728954,0.09999615252017975,0.00020980365032528426
cred,high,5.0,2.0,soft,0.3,0.058138667798042304,0.0027000658512115485,0.00318661829798657
cred,high,5.0,2.0,soft,0.5,0.1184636984705925,0.09309242755174636,0.014440879677131306
cred,high,5.0,2.0,soft,0.7,0.020334289141893423,0.005221180677413981,0.007430863006811705
cred,high,5.0,2.0,soft,0.9,0.08021580703258518,0.08784299552440646,0.009448088661379188
cred,high,5.0,3.5,hard,0.1,0.1265579078728954,0.09999615252017975,0.00020980365032528426
cred,high,5.0,3.5,hard,0.3,0.058138667798042304,0.0027000658512115485,0.00318661829798657
cred,high,5.0,3.5,hard,0.5,0.1184636984705925,0.09309242755174636,0.014440879677131306
cred,high,5.0,3.5,hard,0.7,0.020334289141893423,0.005221180677413981,0.007430863006811705
cred,high,5.0,3.5,hard,0.9,0.08021580703258518,0.08784299552440646,0.009448088661379188
cred,high,5.0,3.5,hard_amnesic,0.1,0.1265579078728954,0.09999615252017975,0.00020980365032528426
cred,high,5.0,3.5,hard_amnesic,0.3,0.058138667798042304,0.0027000658512115485,0.00318661829798657
cred,high,5.0,3.5,hard_amnesic,0.5,0.1184636984705925,0.09309242755174636,0.014440879677131306
cred,high,5.0,3.5,hard_amnesic,0.7,0.020334289141893423,0.005221180677413981,0.007430863006811705
cred,high,5.0,3.5,hard_amnesic,0.9,0.08021580703258518,0.08784299552440646,0.009448088661379188
cred,high,5.0,3.5,soft,0.1,0.1265579078728954,0.09999615252017975,0.00020980365032528426
cred,high,5.0,3.5,soft,0.3,0.058138667798042304,0.0027000658512115485,0.00318661829798657
cred,high,5.0,3.5,soft,0.5,0.1184636984705925,0.09309242755174636,0.014440879677131306
cred,high,5.0,3.5,soft,0.7,0.020334289141893423,0.005221180677413981,0.007430863006811705
cred,high,5.0,3.5,soft,0.9,0.08021580703258518,0.08784299552440646,0.009448088661379188
cred,high,10.0,2.0,hard,0.1,0.1495300051242113,0.1000472705066204,0.0007368149316198469
cred,high,10.0,2.0,hard,0.3,0.122112953141133,0.027654887557029734,0.009079159932953189
cred,high,10.0,2.0,hard,0.5,0.1714301756322384,0.1446410435438156,0.01887405458277499
cred,high,10.0,2.0,hard,0.7,0.02701893381357197,0.00900620043277745,0.01384688629397715
cred,high,10.0,2.0,hard,0.9,0.08670786980589235,0.09757184803485872,0.002974181250422134
cred,high,10.0,2.0,hard_amnesic,0.1,0.1495300051242113,0.1000472705066204,0.0007368149316198469
cred,high,10.0,2.0,hard_amnesic,0.3,0.122112953141133,0.027654887557029734,0.009079159932953189
cred,high,10.0,2.0,hard_amnesic,0.5,0.1714301756322384,0.1446410435438156,0.01887405458277499
cred,high,10.0,2.0,hard_amnesic,0.7,0.02701893381357197,0.00900620043277745,0.01384688629397715
cred,high,10.0,2.0,hard_amnesic,0.9,0.08670786980589235,0.09757184803485872,0.002974181250422134
cred,high,10.0,2.0,soft,0.1,0.1495300051242113,0.1000472705066204,0.0007368149316198469
cred,high,10.0,2.0,soft,0.3,0.122112953141133,0.027654887557029734,0.009079159932953189
cred,high,10.0,2.0,soft,0.5,0.1714301756322384,0.1446410435438156,0.01887405458277499
cred,high,10.0,2.0,soft,0.7,0.02701893381357197,0.00900620043277745,0.01384688629397715
cred,high,10.0,2.0,soft,0.9,0.08670786980589235,0.09757184803485872,0.002974181250422134
cred,high,10.0,3.5,hard,0.1,0.1495300051242113,0.1000472705066204,0.0007368149316198469
cred,high,10.0,3.5,hard,0.3,0.122112953141133,0.027654887557029734,0.009079159932953189
cred,high,10.0,3.5,hard,0.5,0.1714301756322384,0.1446410435438156,0.01887405458277499
cred,high,10.0,3.5,hard,0.7,0.02701893381357197,0.00900620043277745,0.01384688629397715
cred,high,10.0,3.5,hard,0.9,0.08670786980589235,0.09757184803485872,0.002974181250422134
cred,high,10.0,3.5,hard_amnesic,0.1,0.1495300051242113,0.1000472705066204,0.0007368149316198469
cred,high,10.0,3.5,hard_amnesic,0.3,0.122112953141133,0.027654887557029734,0.009079159932953189
cred,high,10.0,3.5,hard_amnesic,0.5,0.1714301756322384,0.1446410435438156,0.01887405458277499
cred,high,10.0,3.5,hard_amnesic,0.7,0.02701893381357197,0.00900620043277745,0.01384688629397715
cred,high,10.0,3.5,hard_amnesic,0.9,0.08670786980589235,0.09757184803485872,0.002974181250422134
cred,high,10.0,3.5,soft,0.1,0.1495300051242113,0.1000472705066204,0.0007368149316198469
cred,high,10.0,3.5,soft,0.3,0.122112953141133,0.027654887557029734,0.009079159932953189
cred,high,10.0,3.5,soft,0.5,0.1714301756322384,0.1446410435438156,0.01887405458277499
cred,high,10.0,3.5,soft,0.7,0.02701893381357197,0.00900620043277745,0.01384688629397715
cred,high,10.0,3.5,soft,0.9,0.08670786980589235,0.09757184803485872,0.002974181250422134
cred,inf,1.5,2.0,hard,0.1,0.008876875698566433,1.4492124319021027e-06,0.00010503129901652253
cred,inf,1.5,2.0,hard,0.3,0.01815911592503389,0.0010500576496124292,0.0033591651919778085
cred,inf,1.5,2.0,hard,0.5,0.025600767465432484,0.004698982834815979,0.00905180175032001
cred,inf,1.5,2.0,hard,0.7,0.019692307060956947,0.0012253319025039523,0.0033533089640332037
cred,inf,1.5,2.0,hard,0.9,0.007393279518683774,6.496906282738024e-08,2.341446114369816e-05
cred,inf,1.5,2.0,hard_amnesic,0.1,0.008876875698566433,1.4492124319021027e-06,0.00010503129901652253
cred,inf,1.5,2.0,hard_amnesic,0.3,0.01815911592503389,0.0010500576496124292,0.0033591651919778085
cred,inf,1.5,2.0,hard_amnesic,0.5,0.025600767465432484,0.004698982834815979,0.00905180175032001
cred,inf,1.5,2.0,hard_amnesic,0.7,0.019692307060956947,0.0012253319025039523,0.0033533089640332037
cred,inf,1.5,2.0,hard_amnesic,0.9,0.007393279518683774,6.496906282738024e-08,2.341446114369816e-05
cred,inf,1.5,2.0,soft,0.1,0.008876875698566433,1.4492124319021027e-06,0.00010503129901652253
cred,inf,1.5,2.0,soft,0.3,0.01815911592503389,0.0010500576496124292,0.0033591651919778085
cred,inf,1.5,2.0,soft,0.5,0.025600767465432484,0.004698982834815979,0.00905180175032001
cred,inf,1.5,2.0,soft,0.7,0.019692307060956947,0.0012253319025039523,0.0033533089640332037
cred,inf,1.5,2.0,soft,0.9,0.007393279518683774,6.496906282738024e-08,2.341446114369816e-05
cred,inf,1.5,3.5,hard,0.1,0.008876875698566433,1.4492124319021027e-06,0.00010503129901652253
cred,inf,1.5,3.5,hard,0.3,0.01815911592503389,0.0010500576496124292,0.0033591651919778085
cred,inf,1.5,3.5,hard,0.5,0.025600767465432484,0.004698982834815979,0.00905180175032001
cred,inf,1.5,3.5,hard,0.7,0.019692307060956947,0.0012253319025039523,0.0033533089640332037
cred,inf,1.5,3.5,hard,0.9,0.007393279518683774,6.496906282738024e-08,2.341446114369816e-05
cred,inf,1.5,3.5,hard_amnesic,0.1,0.008876875698566433,1.4492124319021027e-06,0.00010503129901652253
cred,inf,1.5,3.5,hard_amnesic,0.3,0.01815911592503389,0.0010500576496124292,0.0033591651919778085
cred,inf,1.5,3.5,hard_amnesic,0.5,0.025600767465432484,0.004698982834815979,0.00905180175032001
cred,inf,1.5,3.5,hard_amnesic,0.7,0.019692307060956947,0.0012253319025039523,0.0033533089640332037
cred,inf,1.5,3.5,hard_amnesic,0.9,0.007393279518683774,6.496906282738024e-08,2.341446114369816e-05
cred,inf,1.5,3.5,soft,0.1,0.008876875698566433,1.4492124319021027e-06,0.00010503129901652253
cred,inf,1.5,3.5,soft,0.3,0.01815911592503389,0.0010500576496124292,0.0033591651919778085
cred,inf,1.5,3.5,soft,0.5,0.025600767465432484,0.004698982834815979,0.00905180175032001
cred,inf,1.5,3.5,soft,0.7,0.019692307060956947,0.0012253319025039523,0.0033533089640332037
cred,inf,1.5,3.5,soft,0.9,0.007393279518683774,6.496906282738024e-08,2.341446114369816e-05
cred,inf,3.0,2.0,hard,0.1,0.007051814402639862,5.275011062066959e-08,1.4421760510017201e-05
