psi_star,alpha,c,switch_type,n,rate,mean_tau,median_tau,abias_cred_at_tau,bias_cred_at_tau,abias_sw_at_tau,recovery_median,recovery_mean,recovery_frac,mean_abias_sw_post,mean_abias_cred_post,mean_abias_vig_post
high,1.5,2.0,hard,500,0.992,25.97782258064516,17.0,0.089075258112843,0.03832682031357001,0.08037840389015694,0.0,0.0,1.0,0.02094023948735173,0.03505799785969453,0.02094023948735173
high,1.5,2.0,hard_amnesic,500,0.992,25.97782258064516,17.0,0.089075258112843,0.03832682031357001,0.2403225806451613,2.0,7.669371196754564,0.9939516129032258,0.033988659848606016,0.03505799785969453,0.02094023948735173
high,1.5,2.0,soft,500,0.992,25.97782258064516,17.0,0.089075258112843,0.03832682031357001,0.08947326228503259,0.0,7.85360824742268,0.9778225806451613,0.026119014690993838,0.03505799785969453,0.02094023948735173
high,1.5,3.5,hard,500,0.832,69.15865384615384,66.0,0.044888002955569675,0.017632892412634996,0.02681339965560116,0.0,0.0,1.0,0.01370750456287396,0.03045198188488715,0.01370750456287396
high,1.5,3.5,hard_amnesic,500,0.832,69.15865384615384,66.0,0.044888002955569675,0.017632892412634996,0.24375000000000002,5.0,9.645885286783042,0.9639423076923077,0.04587670066137298,0.03045198188488715,0.01370750456287396
high,1.5,3.5,soft,500,0.832,69.15865384615384,66.0,0.044888002955569675,0.017632892412634996,0.04520237461592143,0.0,10.412073490813649,0.9158653846153846,0.024499728595330103,0.03045198188488715,0.01370750456287396
high,3.0,2.0,hard,500,0.982,12.828920570264765,5.0,0.14697505540371913,0.08138873533415941,0.13532342990583413,0.0,0.0,1.0,0.02814482963885289,0.0627417325083784,0.02814482963885289
high,3.0,2.0,hard_amnesic,500,0.982,12.828920570264765,5.0,0.14697505540371913,0.08138873533415941,0.24073319755600817,1.0,5.610655737704918,0.9938900203665988,0.03536577190403857,0.0627417325083784,0.02814482963885289
high,3.0,2.0,soft,500,0.982,12.828920570264765,5.0,0.14697505540371913,0.08138873533415941,0.14577471117987897,0.0,9.357293868921776,0.9633401221995926,0.03581299785229767,0.0627417325083784,0.02814482963885289
high,3.0,3.5,hard,500,0.896,27.319196428571427,18.0,0.11879538416729442,0.07459519737666208,0.09055340249490526,0.0,0.0,1.0,0.023067430795136908,0.0639393779259303,0.023067430795136908
high,3.0,3.5,hard_amnesic,500,0.896,27.319196428571427,18.0,0.11879538416729442,0.07459519737666208,0.24464285714285716,3.0,8.8,0.9821428571428571,0.03656464521070639,0.0639393779259303,0.023067430795136908
high,3.0,3.5,soft,500,0.896,27.319196428571427,18.0,0.11879538416729442,0.07459519737666208,0.11863149394547301,1.0,19.24685138539043,0.8861607142857143,0.04096457825824201,0.0639393779259303,0.023067430795136908
high,5.0,2.0,hard,500,0.996,5.636546184738956,1.0,0.1717427506145225,0.09346762262434367,0.16825265060347247,0.0,0.0,1.0,0.03425107970651032,0.08004168694489147,0.03425107970651032
high,5.0,2.0,hard_amnesic,500,0.996,5.636546184738956,1.0,0.1717427506145225,0.09346762262434367,0.2401606425702811,1.0,3.040160642570281,1.0,0.03810161566620329,0.08004168694489147,0.03425107970651032
high,5.0,2.0,soft,500,0.996,5.636546184738956,1.0,0.1717427506145225,0.09346762262434367,0.17257354172717138,0.0,3.2768595041322315,0.9718875502008032,0.039658615531063916,0.08004168694489147,0.03425107970651032
high,5.0,3.5,hard,500,0.986,10.9026369168357,1.0,0.16903772966494185,0.09387296361444447,0.15838364272040237,0.0,0.0,1.0,0.03333623205455721,0.08017055816451771,0.03333623205455721
high,5.0,3.5,hard_amnesic,500,0.986,10.9026369168357,1.0,0.16903772966494185,0.09387296361444447,0.2405679513184584,1.0,3.604887983706721,0.9959432048681541,0.039436891387075144,0.08017055816451771,0.03333623205455721
high,5.0,3.5,soft,500,0.986,10.9026369168357,1.0,0.16903772966494185,0.09387296361444447,0.16997470694308833,0.0,4.468220338983051,0.9574036511156186,0.040502415446741206,0.08017055816451771,0.03333623205455721
high,10.0,2.0,hard,500,1.0,2.802,1.0,0.17802776411771776,0.11798285454511644,0.17656014288663865,0.0,0.0,1.0,0.033093835890768426,0.11093124989986998,0.033093835890768426
high,10.0,2.0,hard_amnesic,500,1.0,2.802,1.0,0.17802776411771776,0.11798285454511644,0.24,0.0,1.82,1.0,0.038637521639919,0.11093124989986998,0.033093835890768426
high,10.0,2.0,soft,500,1.0,2.802,1.0,0.17802776411771776,0.11798285454511644,0.17881405308246612,0.0,5.544534412955466,0.988,0.04169927034193263,0.11093124989986998,0.033093835890768426
high,10.0,3.5,hard,500,1.0,4.436,1.0,0.17691101195812226,0.1223409358263016,0.1691788260936737,0.0,0.0,1.0,0.032566570887992696,0.11063246538288486,0.032566570887992696
high,10.0,3.5,hard_amnesic,500,1.0,4.436,1.0,0.17691101195812226,0.1223409358263016,0.24,0.0,2.438,1.0,0.03922514166840582,0.11063246538288486,0.032566570887992696
high,10.0,3.5,soft,500,1.0,4.436,1.0,0.17691101195812226,0.1223409358263016,0.17798459520339965,0.0,4.771309771309771,0.962,0.04317398252680951,0.11063246538288486,0.032566570887992696
low,1.5,2.0,hard,500,0.99,27.7010101010101,19.0,0.09130935052428582,-0.032548421199875645,0.08010282528520835,0.0,0.0,1.0,0.021180316900311857,0.036905601964534185,0.021180316900311857
low,1.5,2.0,hard_amnesic,500,0.99,27.7010101010101,19.0,0.09130935052428582,-0.032548421199875645,0.2404040404040404,2.0,7.496919917864476,0.9838383838383838,0.03525645931037914,0.036905601964534185,0.021180316900311857
low,1.5,2.0,soft,500,0.99,27.7010101010101,19.0,0.09130935052428582,-0.032548421199875645,0.0912526389083477,0.0,9.506172839506172,0.9818181818181818,0.02713066579566804,0.036905601964534185,0.021180316900311857
low,1.5,3.5,hard,500,0.85,70.15058823529412,66.0,0.048366739031146556,-0.01905285069872351,0.02920731865307864,0.0,0.0,1.0,0.013177110325543428,0.03204307559264547,0.013177110325543428
low,1.5,3.5,hard_amnesic,500,0.85,70.15058823529412,66.0,0.048366739031146556,-0.01905285069872351,0.24423529411764705,5.0,8.6775,0.9411764705882353,0.04648102680621967,0.03204307559264547,0.013177110325543428
low,1.5,3.5,soft,500,0.85,70.15058823529412,66.0,0.048366739031146556,-0.01905285069872351,0.04864799555610208,0.0,9.756032171581769,0.8776470588235294,0.02682115027723762,0.03204307559264547,0.013177110325543428
low,3.0,2.0,hard,500,0.98,13.236734693877551,6.0,0.15087474557209987,-0.08797156725002794,0.1397991797084711,0.0,0.0,1.0,0.0302123882523923,0.06593393735295361,0.0302123882523923
low,3.0,2.0,hard_amnesic,500,0.98,13.236734693877551,6.0,0.15087474557209987,-0.08797156725002794,0.24081632653061225,1.0,5.254620123203286,0.9938775510204082,0.037650508693070586,0.06593393735295361,0.0302123882523923
low,3.0,2.0,soft,500,0.98,13.236734693877551,6.0,0.15087474557209987,-0.08797156725002794,0.14939287840103616,0.0,9.236897274633124,0.9734693877551021,0.03709468708702453,0.06593393735295361,0.0302123882523923
low,3.0,3.5,hard,500,0.894,27.192393736017898,18.0,0.1287459727568381,-0.08647869264652798,0.09715442981495953,0.0,0.0,1.0,0.02530175377243617,0.06756046778531286,0.02530175377243617
low,3.0,3.5,hard_amnesic,500,0.894,27.192393736017898,18.0,0.1287459727568381,-0.08647869264652798,0.24474272930648772,2.0,8.736363636363636,0.9843400447427293,0.03932407297056229,0.06756046778531286,0.02530175377243617
low,3.0,3.5,soft,500,0.894,27.192393736017898,18.0,0.1287459727568381,-0.08647869264652798,0.12818213451895405,2.0,20.35,0.8948545861297539,0.04499380023041498,0.06756046778531286,0.02530175377243617
low,5.0,2.0,hard,500,1.0,6.222,1.0,0.17523729504942892,-0.093949910312891,0.16914170328080652,0.0,0.0,1.0,0.03414982556331927,0.0778840586417533,0.03414982556331927
low,5.0,2.0,hard_amnesic,500,1.0,6.222,1.0,0.17523729504942892,-0.093949910312891,0.24,1.0,2.931726907630522,0.996,0.03781251109542834,0.0778840586417533,0.03414982556331927
low,5.0,2.0,soft,500,1.0,6.222,1.0,0.17523729504942892,-0.093949910312891,0.1767036066830158,0.0,4.364389233954451,0.966,0.04055769375544247,0.0778840586417533,0.03414982556331927
low,5.0,3.5,hard,500,0.986,11.54158215010142,1.0,0.1723225380537718,-0.09221872843303254,0.16104538534101076,0.0,0.0,1.0,0.03298513385847327,0.07795544972665336,0.03298513385847327
low,5.0,3.5,hard_amnesic,500,0.986,11.54158215010142,1.0,0.1723225380537718,-0.09221872843303254,0.2405679513184584,1.0,3.408536585365854,0.9979716024340771,0.03847199443157569,0.07795544972665336,0.03298513385847327
low,5.0,3.5,soft,500,0.986,11.54158215010142,1.0,0.1723225380537718,-0.09221872843303254,0.17383059269274467,0.0,5.164179104477612,0.9513184584178499,0.04160470857887126,0.07795544972665336,0.03298513385847327
low,10.0,2.0,hard,500,1.0,2.644,1.0,0.1771477900624275,-0.12247648903727532,0.17495610005557538,0.0,0.0,1.0,0.0356125076395511,0.10697440852962692,0.0356125076395511
