psi_star,alpha,block,f_some
high,1.5,1-10,0.5814
high,1.5,11-50,0.5711999999999999
high,1.5,51-150,0.57278
high,3.0,1-10,0.617
high,3.0,11-50,0.5828500000000001
high,3.0,51-150,0.5704
high,5.0,1-10,0.6275999999999999
high,5.0,11-50,0.5982500000000001
high,5.0,51-150,0.5794400000000001
high,10.0,1-10,0.6714
high,10.0,11-50,0.63215
high,10.0,51-150,0.58568
inf,1.5,1-10,0.4322
inf,1.5,11-50,0.4617
inf,1.5,51-150,0.46658
inf,3.0,1-10,0.354
inf,3.0,11-50,0.3961
inf,3.0,51-150,0.40490000000000004
inf,5.0,1-10,0.3224
inf,5.0,11-50,0.36765000000000003
inf,5.0,51-150,0.36951999999999996
inf,10.0,1-10,0.2864
inf,10.0,11-50,0.33765
inf,10.0,51-150,0.33804
low,1.5,1-10,0.5892000000000001
low,1.5,11-50,0.5742499999999999
low,1.5,51-150,0.5743400000000001
low,3.0,1-10,0.6268
low,3.0,11-50,0.5783
low,3.0,51-150,0.57464
low,5.0,1-10,0.6416
low,5.0,11-50,0.596
low,5.0,51-150,0.57726
low,10.0,1-10,0.677
low,10.0,11-50,0.6256
low,10.0,51-150,0.5824600000000001
