psi_star,alpha,c,switch_type,rate,n,median_tau,mean_tau
high,1.5,2.0,hard,0.9933333333333333,300,17.0,25.949664429530202
high,1.5,2.0,soft,0.9933333333333333,300,20.0,26.459731543624162
high,1.5,3.5,hard,0.8433333333333334,300,70.0,72.24901185770752
high,1.5,3.5,soft,0.8866666666666667,300,65.0,68.8984962406015
high,3.0,2.0,hard,0.9866666666666667,300,6.0,13.246621621621621
high,3.0,2.0,soft,0.9933333333333333,300,7.0,13.889261744966444
high,3.0,3.5,hard,0.93,300,20.0,29.698924731182796
high,3.0,3.5,soft,0.8866666666666667,300,20.0,29.296992481203006
high,10.0,2.0,hard,1.0,300,1.0,3.7133333333333334
high,10.0,2.0,soft,1.0,300,1.0,2.69
high,10.0,3.5,hard,0.9966666666666667,300,1.0,6.0602006688963215
high,10.0,3.5,soft,1.0,300,1.0,3.39
inf,1.5,2.0,hard,0.21,300,29.0,39.53968253968254
inf,1.5,2.0,soft,0.25333333333333335,300,37.0,43.88157894736842
inf,1.5,3.5,hard,0.0033333333333333335,300,117.0,117.0
inf,1.5,3.5,soft,0.006666666666666667,300,101.0,101.0
inf,3.0,2.0,hard,0.74,300,29.5,41.747747747747745
inf,3.0,2.0,soft,0.7666666666666667,300,29.0,37.969565217391306
inf,3.0,3.5,hard,0.4,300,73.0,79.21666666666667
inf,3.0,3.5,soft,0.4066666666666667,300,85.5,85.11475409836065
inf,10.0,2.0,hard,1.0,300,4.0,5.82
inf,10.0,2.0,soft,1.0,300,4.0,5.6433333333333335
inf,10.0,3.5,hard,1.0,300,6.0,9.18
inf,10.0,3.5,soft,0.9966666666666667,300,6.0,9.127090301003344
low,1.5,2.0,hard,0.99,300,18.0,28.205387205387204
low,1.5,2.0,soft,0.9966666666666667,300,17.0,25.190635451505017
low,1.5,3.5,hard,0.84,300,70.5,71.16666666666667
low,1.5,3.5,soft,0.8133333333333334,300,65.0,68.51639344262296
low,3.0,2.0,hard,0.99,300,6.0,12.95959595959596
low,3.0,2.0,soft,0.9866666666666667,300,6.0,15.317567567567568
low,3.0,3.5,hard,0.9,300,21.0,32.007407407407406
low,3.0,3.5,soft,0.8866666666666667,300,20.5,28.048872180451127
low,10.0,2.0,hard,1.0,300,1.0,3.216666666666667
low,10.0,2.0,soft,1.0,300,1.0,2.3966666666666665
low,10.0,3.5,hard,1.0,300,1.0,6.0633333333333335
low,10.0,3.5,soft,1.0,300,1.0,3.296666666666667
