listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
cred,high,1.5,2.0,hard,0.04707092840148344,0.024583697626988102,0.011721166834486211
cred,high,1.5,2.0,soft,0.042566263336572395,0.023729776034752535,0.01130572191408343
cred,high,1.5,3.5,hard,0.04300501405043736,0.02088142560919127,0.012401922312697026
cred,high,1.5,3.5,soft,0.044086450837188304,0.022213401402036356,0.011422658453278322
cred,high,3.0,2.0,hard,0.06491245724956196,0.04893052440385025,0.008779563650429433
cred,high,3.0,2.0,soft,0.06217159733189477,0.04698024156689645,0.011285032917069959
cred,high,3.0,3.5,hard,0.061937811171346245,0.046366605286796904,0.010814200054616474
cred,high,3.0,3.5,soft,0.06457237214234142,0.049609333197275805,0.00960878488505235
cred,high,10.0,2.0,hard,0.11064425947434373,0.09300047261516256,0.010190449502557233
cred,high,10.0,2.0,soft,0.09255407358460957,0.07698406400283178,0.010149681808303133
cred,high,10.0,3.5,hard,0.1050116303959158,0.08802148535847665,0.008561602355793336
cred,high,10.0,3.5,soft,0.09493596360233096,0.07717100244760515,0.01130866190933072
cred,inf,1.5,2.0,hard,0.01630474519895183,0.004119691133499146,0.0036420948135164007
cred,inf,1.5,2.0,soft,0.014849877814120716,0.0020475548356771447,0.003008711895011032
cred,inf,1.5,3.5,hard,0.014432595259646575,0.0020616731047630303,0.0034546975609865624
cred,inf,1.5,3.5,soft,0.015088764742612842,0.001857685128847757,0.0034805217863347546
cred,inf,3.0,2.0,hard,0.012241105921930739,0.0006975976278384547,0.0015186393392588363
cred,inf,3.0,2.0,soft,0.011909170218540564,0.0006274105757474894,0.0012984833350482843
cred,inf,3.0,3.5,hard,0.011927683289117284,0.00035461622973283105,0.0010191168920380435
cred,inf,3.0,3.5,soft,0.011382043414645727,0.00028562504053115815,0.0010491688941918638
cred,inf,10.0,2.0,hard,0.0111802300830351,0.00020688317716121635,0.0009790256237003617
cred,inf,10.0,2.0,soft,0.011922123739222686,0.0008178540865580244,0.00144281948837508
cred,inf,10.0,3.5,hard,0.011790564553903211,0.0002715011835098283,0.001124390451412635
cred,inf,10.0,3.5,soft,0.01127402347971996,0.0003363608072201422,0.0010797606346084124
cred,low,1.5,2.0,hard,0.04010905226584938,0.01978233190874259,0.011069134620123199
cred,low,1.5,2.0,soft,0.04437943777766493,0.023781588609019917,0.010955571508236896
cred,low,1.5,3.5,hard,0.04215698038521741,0.020505609745780633,0.01229996644201795
cred,low,1.5,3.5,soft,0.047445177520811566,0.02526614186664423,0.012450385841497488
cred,low,3.0,2.0,hard,0.06415461041304801,0.047663789153099066,0.009416860260783626
cred,low,3.0,2.0,soft,0.06284462199356822,0.04801850170393786,0.009920332877582042
cred,low,3.0,3.5,hard,0.06337593902746837,0.04704626093308132,0.010527458704400488
cred,low,3.0,3.5,soft,0.06245429942061505,0.047145524288217236,0.009769813770805437
cred,low,10.0,2.0,hard,0.11148641444414853,0.09139075773954392,0.011544277714205388
cred,low,10.0,2.0,soft,0.09900465139134063,0.0801366979777813,0.009942985430960411
cred,low,10.0,3.5,hard,0.10030596676356263,0.08293609120945136,0.00946140264421956
cred,low,10.0,3.5,soft,0.10191481297141976,0.08415142220258713,0.011235471195563302
switch,high,1.5,2.0,hard,0.031903274882733826,0.006416645194093391,0.012616772794180045
switch,high,1.5,2.0,soft,0.033484676798681424,0.009280247524380688,0.012340525695647102
switch,high,1.5,3.5,hard,0.034319719759556985,0.008091705143451696,0.010617521983902733
switch,high,1.5,3.5,soft,0.04076645868738493,0.016025313138961796,0.010677091752150621
switch,high,3.0,2.0,hard,0.034273948151369894,0.008931433121363326,0.013895782983847582
switch,high,3.0,2.0,soft,0.03905268134246271,0.011542135541637745,0.01349892117898302
switch,high,3.0,3.5,hard,0.03391717390040557,0.009224156657854723,0.01466635857657432
