listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,high,1.5,2.0,hard,0.1,0.0797580151508252,0.049977622677882506,0.017972994576378673
cred,high,1.5,2.0,hard,0.3,0.025772773623466486,0.0012723469734191861,0.002536062543974064
cred,high,1.5,2.0,hard,0.5,0.07111090232928594,0.04366212040185928,0.018085189095775906
cred,high,1.5,2.0,hard,0.7,0.017619134391678726,0.0024166756868362707,0.005786366749089211
cred,high,1.5,2.0,hard,0.9,0.041093816512160854,0.02558972239494326,0.014225221207213205
cred,high,1.5,2.0,soft,0.1,0.07001103137764668,0.05013346696893373,0.01563353761627392
cred,high,1.5,2.0,soft,0.3,0.020594052927196023,0.0003093450268109606,0.0026746769618815353
cred,high,1.5,2.0,soft,0.5,0.057224991425871855,0.03637482871611913,0.019410963133365537
cred,high,1.5,2.0,soft,0.7,0.018796653972731718,0.0028627979755401953,0.004045016575037153
cred,high,1.5,2.0,soft,0.9,0.0462045869794157,0.028968441486358666,0.014764415283859003
cred,high,1.5,3.5,hard,0.1,0.0711548882317212,0.042078144103288646,0.018263578929145298
cred,high,1.5,3.5,hard,0.3,0.022717205602924027,0.002258228560288742,0.004995342691108818
cred,high,1.5,3.5,hard,0.5,0.062406020071771415,0.03494844486316045,0.019162203709129244
cred,high,1.5,3.5,hard,0.7,0.017031755265924688,0.0020169196526209853,0.005546779692425238
cred,high,1.5,3.5,hard,0.9,0.04171520107984546,0.023105390866597516,0.014041706541676528
cred,high,1.5,3.5,soft,0.1,0.06969795715477732,0.046024666602412855,0.015509386304590105
cred,high,1.5,3.5,soft,0.3,0.026658077386352747,0.0021257378160953505,0.00422972186752304
cred,high,1.5,3.5,soft,0.5,0.06156775785485903,0.03849433809518814,0.019449541283150514
cred,high,1.5,3.5,soft,0.7,0.017537774526410643,0.0012146447102229009,0.0037000270013474315
cred,high,1.5,3.5,soft,0.9,0.044970687263541774,0.023207619786262533,0.014224615809780516
cred,high,3.0,2.0,hard,0.1,0.10840366847647562,0.08985197183986506,0.00538238026667841
cred,high,3.0,2.0,hard,0.3,0.031702922167380646,0.00016028722127277943,0.0018106688108067222
cred,high,3.0,2.0,hard,0.5,0.09123146952854262,0.07328705539306005,0.015544947858143133
cred,high,3.0,2.0,hard,0.7,0.015819168800777893,0.004262742201487265,0.00583801132888766
cred,high,3.0,2.0,hard,0.9,0.07740505727463301,0.07709056536356611,0.015321809987631241
cred,high,3.0,2.0,soft,0.1,0.09863785246345733,0.0886365440984567,0.008655342014799316
cred,high,3.0,2.0,soft,0.3,0.02925213307804531,0.0006530886888503969,0.0020974034778798037
cred,high,3.0,2.0,soft,0.5,0.0924990388949712,0.06394229133923848,0.020440887627773918
cred,high,3.0,2.0,soft,0.7,0.022101723870303923,0.004878858526547791,0.009256830301334654
cred,high,3.0,2.0,soft,0.9,0.06836723835269612,0.07679042518138889,0.015974701163562106
cred,high,3.0,3.5,hard,0.1,0.10709564938975706,0.09364991995195547,0.005485729486235868
cred,high,3.0,3.5,hard,0.3,0.03063827594750457,0.0032434657216072046,0.0031649136549579755
cred,high,3.0,3.5,hard,0.5,0.08607473549246787,0.06303447782993317,0.01858320626973485
cred,high,3.0,3.5,hard,0.7,0.01825613806843761,0.005223273237546322,0.007803061735224522
cred,high,3.0,3.5,hard,0.9,0.06762425695856415,0.06668188969294234,0.019034089126929152
cred,high,3.0,3.5,soft,0.1,0.11065271675255565,0.09588508953650793,0.004614328008119628
cred,high,3.0,3.5,soft,0.3,0.024563102396329237,0.0001425757010777721,0.0019403303543488921
cred,high,3.0,3.5,soft,0.5,0.09661703323655658,0.07621362755695979,0.018607788199248413
cred,high,3.0,3.5,soft,0.7,0.016346341216564208,0.0008005154132843343,0.004302870557088075
cred,high,3.0,3.5,soft,0.9,0.0746826671097014,0.07500485777854922,0.018578607306456735
cred,high,10.0,2.0,hard,0.1,0.17593654213017887,0.1362390992542108,0.017680089966241517
cred,high,10.0,2.0,hard,0.3,0.11043113463090526,0.07660654425621033,0.0034988653908537043
cred,high,10.0,2.0,hard,0.5,0.1576934529311127,0.14724733531475068,0.015037020944267473
cred,high,10.0,2.0,hard,0.7,0.023493107251326282,0.007255007823308354,0.010884447764450062
cred,high,10.0,2.0,hard,0.9,0.08566706042819557,0.09765437642733259,0.0038518234469734126
cred,high,10.0,2.0,soft,0.1,0.16313978342215218,0.12734507123629252,0.019263058739200763
cred,high,10.0,2.0,soft,0.3,0.04277396045327187,0.018608880639076234,0.0026467400489612676
cred,high,10.0,2.0,soft,0.5,0.1461803956826528,0.13314266850550968,0.014275461981499878
cred,high,10.0,2.0,soft,0.7,0.024067346282137806,0.006668281555175825,0.011558140290435403
cred,high,10.0,2.0,soft,0.9,0.08660888208283322,0.09915541807810468,0.003005007981418354
cred,high,10.0,3.5,hard,0.1,0.17152798973520594,0.12581531380613645,0.017087195719075982
cred,high,10.0,3.5,hard,0.3,0.0908705764035384,0.06518925080696741,0.0027918775467696832
cred,high,10.0,3.5,hard,0.5,0.15101540113157697,0.14603295177221298,0.009558295867706571
cred,high,10.0,3.5,hard,0.7,0.02437564457853639,0.007668334245681807,0.010617821588675724
cred,high,10.0,3.5,hard,0.9,0.08726854013072123,0.09540157616138462,0.002752821056738715
cred,high,10.0,3.5,soft,0.1,0.1653266675439146,0.12311324179172516,0.01978381513298094
cred,high,10.0,3.5,soft,0.3,0.05948352869417932,0.02426092257102331,0.005077499292625968
cred,high,10.0,3.5,soft,0.5,0.1424010399017069,0.13364509244759878,0.016150842396139828
cred,high,10.0,3.5,soft,0.7,0.02450464247332683,0.007808184425036154,0.009818444096951377
cred,high,10.0,3.5,soft,0.9,0.08296393939852717,0.09702757100264234,0.005712708627955484
cred,inf,1.5,2.0,hard,0.1,0.006980596183074841,7.450580591372713e-09,6.581777385711307e-06
cred,inf,1.5,2.0,hard,0.3,0.02682013455198871,0.008528365790843966,0.0062847224160577754
cred,inf,1.5,2.0,hard,0.5,0.015334602394037777,0.0008330166339874268,0.004116055788472295
cred,inf,1.5,2.0,hard,0.7,0.025715237534708432,0.011237038969993573,0.0077971478453643306
cred,inf,1.5,2.0,hard,0.9,0.006673155330949382,2.682209017113024e-08,5.966240301891191e-06
cred,inf,1.5,2.0,soft,0.1,0.005702070352103971,1.6142924571157143e-09,1.460273154585412e-06
cred,inf,1.5,2.0,soft,0.3,0.01997761099537214,0.0031250039736429908,0.004520308379990941
cred,inf,1.5,2.0,soft,0.5,0.01756783513724804,0.001470668613910675,0.005768896330846473
cred,inf,1.5,2.0,soft,0.7,0.024301257967948894,0.005642048319180774,0.004744733220286434
cred,inf,1.5,2.0,soft,0.9,0.00670061461793054,5.1657358827543e-08,8.16127077672609e-06
cred,inf,1.5,3.5,hard,0.1,0.005683894844518763,8.940696710757479e-09,6.024840450287913e-06
cred,inf,1.5,3.5,hard,0.3,0.019914514872597325,0.004438293874263769,0.004625800544575517
cred,inf,1.5,3.5,hard,0.5,0.01722020696931415,0.0012331406275431316,0.006487099248139809
cred,inf,1.5,3.5,hard,0.7,0.02261188470191424,0.004636898239453606,0.006151725673529048
cred,inf,1.5,3.5,hard,0.9,0.006732474909888395,2.384185793236071e-08,2.8374982381507152e-06
cred,inf,1.5,3.5,soft,0.1,0.005937114569875925,1.4901161138336505e-09,9.036234763726281e-07
cred,inf,1.5,3.5,soft,0.3,0.022429762135280508,0.002475321392218275,0.005470236560055733
cred,inf,1.5,3.5,soft,0.5,0.016740948635670876,0.00240230659643809,0.006536917816265486
cred,inf,1.5,3.5,soft,0.7,0.0239003627359867,0.004410763382911657,0.00538854218848428
cred,inf,1.5,3.5,soft,0.9,0.0064356356362502,3.2782554648669306e-08,6.008743391901679e-06
cred,inf,3.0,2.0,hard,0.1,0.00625437053541342,1.8626451436798418e-09,1.2944882920011096e-06
cred,inf,3.0,2.0,hard,0.3,0.019878839393787914,0.002463457534710569,0.0034668858491083182
cred,inf,3.0,2.0,hard,0.5,0.013259723150067858,4.570186138153076e-05,0.0013450669056813544
cred,inf,3.0,2.0,hard,0.7,0.015651218974590292,0.000978803038597098,0.002779126674492242
cred,inf,3.0,2.0,hard,0.9,0.006161377555794208,2.384185793236071e-08,8.227787202663706e-07
cred,inf,3.0,2.0,soft,0.1,0.005567432841493019,7.078051561526522e-09,3.22820539683429e-06
cred,inf,3.0,2.0,soft,0.3,0.017886809006664492,0.00016599466403325694,0.0013763644516984642
cred,inf,3.0,2.0,soft,0.5,0.01362981866300106,0.0005107671022415161,0.0021283223201559545
cred,inf,3.0,2.0,soft,0.7,0.01620837500360276,0.00246026019255318,0.002982777217706219
cred,inf,3.0,2.0,soft,0.9,0.006253415577941493,2.384185793236071e-08,1.7244802839488926e-06
cred,inf,3.0,3.5,hard,0.1,0.007030881811347269,1.8626451436798418e-09,1.3610835557342771e-06
cred,inf,3.0,3.5,hard,0.3,0.016041865868038605,0.001202788899342222,0.0014547956105161574
cred,inf,3.0,3.5,hard,0.5,0.013047857906255457,7.27588931719462e-05,0.0015084510943173277
cred,inf,3.0,3.5,hard,0.7,0.016792008074124638,0.0004975076516469112,0.0021303933969951078
cred,inf,3.0,3.5,hard,0.9,0.006725802785820453,2.384185793236071e-08,5.832748058913021e-07
cred,inf,3.0,3.5,soft,0.1,0.007034840395881066,1.4901161138336505e-09,1.5236736569483137e-07
cred,inf,3.0,3.5,soft,0.3,0.016387680071757903,0.0005368087689081869,0.0020472850338289087
cred,inf,3.0,3.5,soft,0.5,0.01258883670469125,0.00017827153205871583,0.0015528564537817147
cred,inf,3.0,3.5,soft,0.7,0.015497003614240213,0.0007130195697148419,0.0016448866541395545
cred,inf,3.0,3.5,soft,0.9,0.005401856286658204,2.384185793236071e-08,6.639618434463775e-07
cred,inf,10.0,2.0,hard,0.1,0.005897326295574501,5.6595851977610705e-06,0.00011528837415307007
cred,inf,10.0,2.0,hard,0.3,0.01303358570287625,4.401654005051029e-05,0.0006750819045616178
cred,inf,10.0,2.0,hard,0.5,0.015993521591027578,0.0007706726590792338,0.002672862832211346
cred,inf,10.0,2.0,hard,0.7,0.013762021160125723,0.00021403829256691302,0.0014264309545372574
cred,inf,10.0,2.0,hard,0.9,0.007214695665571448,2.880891166364326e-08,5.464053038517491e-06
cred,inf,10.0,2.0,soft,0.1,0.00564906835969951,1.4901161138336505e-09,1.3376689149025011e-06
cred,inf,10.0,2.0,soft,0.3,0.015054715014828577,0.00021933327118556039,0.0012798119672576527
cred,inf,10.0,2.0,soft,0.5,0.016558259046740003,0.0005014131466547649,0.002019392923284613
cred,inf,10.0,2.0,soft,0.7,0.016658918023771695,0.003368474841117841,0.0039026155363899306
cred,inf,10.0,2.0,soft,0.9,0.005689658251073647,4.768371584251696e-08,1.0939346028301007e-05
cred,inf,10.0,3.5,hard,0.1,0.007865858957999277,2.510845661157779e-06,7.507728235001121e-05
cred,inf,10.0,3.5,hard,0.3,0.014921682679984307,0.001012464364369714,0.002836015510335225
cred,inf,10.0,3.5,hard,0.5,0.016263895591100055,0.0001553302009900411,0.0014850851045897192
cred,inf,10.0,3.5,hard,0.7,0.013730111646652218,0.00018717169761656532,0.0012209397137363945
cred,inf,10.0,3.5,hard,0.9,0.0061712738937802014,2.880891166364326e-08,4.834646051824857e-06
cred,inf,10.0,3.5,soft,0.1,0.0051203394341799895,2.359350516808097e-09,3.0626696245206197e-06
cred,inf,10.0,3.5,soft,0.3,0.013610120257404119,8.618136246999475e-05,0.0013308980066843409
cred,inf,10.0,3.5,soft,0.5,0.015996814345320066,0.0009725699822107951,0.002618428773409202
cred,inf,10.0,3.5,soft,0.7,0.01583614155583911,0.0006229201952616225,0.0014305543066257087
cred,inf,10.0,3.5,soft,0.9,0.005806701805856515,1.3013680778180732e-07,1.5859416698290238e-05
cred,low,1.5,2.0,hard,0.1,0.0425142337522573,0.019281479592124614,0.014976424962408903
cred,low,1.5,2.0,hard,0.3,0.019872387411528157,0.0034136598805586432,0.003962145773160349
cred,low,1.5,2.0,hard,0.5,0.056565575288401705,0.036364431182543434,0.018285621978187314
cred,low,1.5,2.0,hard,0.7,0.019319876885414124,0.0005813670158386334,0.002499747913801305
cred,low,1.5,2.0,hard,0.9,0.06227318799164562,0.03927072187264762,0.015621732473058121
cred,low,1.5,2.0,soft,0.1,0.04810757454733054,0.03440581100682417,0.015178068928385831
cred,low,1.5,2.0,soft,0.3,0.018086753833956186,0.001611250042915339,0.003836008536139464
cred,low,1.5,2.0,soft,0.5,0.06085730768243471,0.04152401437362035,0.020509261009283363
cred,low,1.5,2.0,soft,0.7,0.023436854593621357,0.0004888637860616181,0.0026030145602514193
cred,low,1.5,2.0,soft,0.9,0.07140869823098185,0.04087800383567812,0.0126515045071244
cred,low,1.5,3.5,hard,0.1,0.03988972902380759,0.022269422188401215,0.011052719144966734
cred,low,1.5,3.5,hard,0.3,0.014864942059251993,0.000952168504397068,0.003279772611616257
