psi_star,alpha,c,switch_type,block,f_pers_only,f_inf_only,f_both,p_switched,mean_p_pers,mean_p_inf
high,1.5,2.0,hard,1-5,0.20199999999999999,0.11733333333333333,0.17,0.132,0.37282313062209305,0.2990077687852548
high,1.5,2.0,hard,6-10,0.192,0.162,0.16066666666666665,0.29933333333333334,0.33838624365201136,0.3078598504258542
high,1.5,2.0,hard,11-25,0.17888888888888888,0.15488888888888888,0.15666666666666668,0.51,0.3269876626994332,0.31143781080997074
high,1.5,2.0,hard,26-50,0.1784,0.16346666666666668,0.15066666666666667,0.7550666666666668,0.3219060014688492,0.3147115728166454
high,1.5,2.0,hard,51-150,0.16523333333333332,0.16306666666666667,0.14786666666666667,0.9553333333333334,0.3164441646324999,0.31401182042206194
high,1.5,2.0,soft,1-5,0.192,0.13666666666666666,0.17066666666666666,0.13066666666666665,0.3711723278790007,0.3043663178781483
high,1.5,2.0,soft,6-10,0.17266666666666666,0.17733333333333334,0.15666666666666665,0.2906666666666667,0.332703270595198,0.3068568993707802
high,1.5,2.0,soft,11-25,0.17333333333333334,0.15622222222222223,0.15133333333333332,0.47888888888888886,0.32435065492539833,0.31295802646128285
high,1.5,2.0,soft,26-50,0.1688,0.1564,0.15159999999999998,0.7585333333333333,0.3206499652222485,0.31452968323922237
high,1.5,2.0,soft,51-150,0.15943333333333334,0.1618666666666667,0.1584,0.9545666666666666,0.31715073972970254,0.31462814363397235
high,1.5,3.5,hard,1-5,0.19,0.12333333333333332,0.17866666666666667,0.0,0.36991289386191073,0.30026242886440935
high,1.5,3.5,hard,6-10,0.16133333333333333,0.16533333333333336,0.15933333333333333,0.004666666666666667,0.3306468839179741,0.3094657030713847
high,1.5,3.5,hard,11-25,0.1706666666666667,0.16022222222222224,0.1531111111111111,0.048,0.32237008808524664,0.3126614710753068
high,1.5,3.5,hard,26-50,0.1672,0.15280000000000002,0.15293333333333334,0.1704,0.318543146351867,0.31357153696468265
high,1.5,3.5,hard,51-150,0.15883333333333335,0.1572333333333333,0.1595,0.6141,0.31625489380079075,0.3145503951426494
high,1.5,3.5,soft,1-5,0.19533333333333336,0.13666666666666666,0.162,0.0,0.3717044746534558,0.30117449909005295
high,1.5,3.5,soft,6-10,0.19133333333333333,0.15666666666666665,0.13866666666666666,0.007333333333333334,0.3326162657518496,0.30894728122279586
high,1.5,3.5,soft,11-25,0.17400000000000002,0.15555555555555556,0.14977777777777776,0.04577777777777778,0.3235016504526736,0.3131338161891486
high,1.5,3.5,soft,26-50,0.16333333333333333,0.15986666666666668,0.15106666666666665,0.22093333333333334,0.31936299750911745,0.31427677207579824
high,1.5,3.5,soft,51-150,0.16086666666666669,0.15469999999999998,0.15656666666666666,0.6655,0.316628596859405,0.3142511584524312
high,3.0,2.0,hard,1-5,0.25933333333333336,0.09866666666666667,0.18133333333333332,0.3413333333333333,0.43378178219362257,0.2823020189788365
high,3.0,2.0,hard,6-10,0.21866666666666668,0.13933333333333334,0.14733333333333332,0.5913333333333334,0.37918289995957316,0.28916593892349735
high,3.0,2.0,hard,11-25,0.1928888888888889,0.1471111111111111,0.15733333333333335,0.8022222222222222,0.349922969544469,0.3056689098831734
high,3.0,2.0,hard,26-50,0.16706666666666667,0.16106666666666666,0.158,0.9050666666666666,0.3292213005927309,0.3125964641205304
high,3.0,2.0,hard,51-150,0.16726666666666665,0.16113333333333332,0.15159999999999998,0.9659333333333333,0.3196961690387683,0.3142620297048444
high,3.0,2.0,soft,1-5,0.23533333333333334,0.12266666666666666,0.18333333333333332,0.32733333333333337,0.4178782777637112,0.28738426661526867
high,3.0,2.0,soft,6-10,0.19933333333333333,0.14933333333333335,0.16466666666666666,0.5646666666666667,0.3583896889109883,0.29569592548302515
high,3.0,2.0,soft,11-25,0.19666666666666666,0.16177777777777777,0.14444444444444446,0.7815555555555556,0.3385800984622825,0.3057947291643992
high,3.0,2.0,soft,26-50,0.17586666666666667,0.1676,0.15280000000000002,0.9202666666666667,0.3284047071956008,0.3138320976149712
high,3.0,2.0,soft,51-150,0.16863333333333333,0.16606666666666667,0.1496333333333333,0.9700666666666666,0.31982859224034543,0.3137841808916042
high,3.0,3.5,hard,1-5,0.23800000000000002,0.10333333333333333,0.17,0.06533333333333333,0.4191410085223651,0.2889626497239874
high,3.0,3.5,hard,6-10,0.212,0.12333333333333334,0.15133333333333332,0.21733333333333335,0.3576050618433739,0.29685895300561227
high,3.0,3.5,hard,11-25,0.19599999999999998,0.15266666666666664,0.14466666666666667,0.43088888888888893,0.3416141769198619,0.3098620992477258
high,3.0,3.5,hard,26-50,0.17653333333333332,0.1618666666666667,0.14786666666666667,0.6997333333333333,0.32789040147388737,0.3152866023085923
high,3.0,3.5,hard,51-150,0.16766666666666666,0.1591,0.15443333333333334,0.8744,0.319372785913459,0.3144376822181342
high,3.0,3.5,soft,1-5,0.23600000000000002,0.11266666666666665,0.17933333333333334,0.06133333333333333,0.41829202366921153,0.2905336293113234
high,3.0,3.5,soft,6-10,0.21066666666666667,0.17800000000000002,0.13933333333333334,0.20800000000000002,0.347338831315718,0.2989685671732632
high,3.0,3.5,soft,11-25,0.18844444444444444,0.15133333333333332,0.14733333333333334,0.4211111111111111,0.33168694997474085,0.30760572126537317
high,3.0,3.5,soft,26-50,0.1712,0.1618666666666667,0.15373333333333333,0.6570666666666667,0.3243677188598977,0.3118619987641303
high,3.0,3.5,soft,51-150,0.1665,0.15480000000000002,0.15556666666666666,0.8382000000000001,0.3201324452025255,0.313941444305063
high,10.0,2.0,hard,1-5,0.262,0.07133333333333333,0.25466666666666665,0.6873333333333334,0.5164616468729863,0.33114299317907403
high,10.0,2.0,hard,6-10,0.34600000000000003,0.11466666666666667,0.15933333333333333,0.8973333333333333,0.4785848374456803,0.2637530027348788
high,10.0,2.0,hard,11-25,0.312,0.11022222222222221,0.13822222222222222,0.9635555555555555,0.4600917640232966,0.25060970529632065
high,10.0,2.0,hard,26-50,0.27493333333333336,0.10973333333333334,0.15,0.9964,0.4297398241645376,0.26075107635467687
high,10.0,2.0,hard,51-150,0.22046666666666667,0.12969999999999998,0.15106666666666665,1.0,0.37275107655273304,0.2851138820561328
high,10.0,2.0,soft,1-5,0.25066666666666665,0.084,0.22933333333333333,0.762,0.46900270975143216,0.28877120869405354
high,10.0,2.0,soft,6-10,0.30266666666666664,0.11666666666666665,0.11466666666666667,0.9426666666666667,0.4426192134792381,0.24161137128557833
high,10.0,2.0,soft,11-25,0.318,0.1257777777777778,0.106,0.9877777777777778,0.437002232431904,0.24125165698479842
high,10.0,2.0,soft,26-50,0.2836,0.1424,0.12840000000000001,0.9987999999999999,0.4134345540088345,0.2595637323463075
high,10.0,2.0,soft,51-150,0.22,0.14623333333333333,0.143,1.0,0.36550580182904724,0.28932985945028794
high,10.0,3.5,hard,1-5,0.2793333333333333,0.08066666666666666,0.22733333333333333,0.6453333333333333,0.4973016801931836,0.31021506022927153
high,10.0,3.5,hard,6-10,0.326,0.09733333333333333,0.17800000000000002,0.8059999999999999,0.47838891744946144,0.27198408993005624
high,10.0,3.5,hard,11-25,0.3146666666666667,0.11511111111111111,0.13866666666666666,0.9071111111111111,0.4519225183348965,0.2496326693619606
high,10.0,3.5,hard,26-50,0.29053333333333337,0.12173333333333333,0.13373333333333332,0.9663999999999999,0.42372628536331003,0.25564154845479037
high,10.0,3.5,hard,51-150,0.21446666666666667,0.13456666666666667,0.155,0.9943333333333334,0.3680071649203891,0.2883619027057609
high,10.0,3.5,soft,1-5,0.2793333333333333,0.07733333333333334,0.21066666666666667,0.7253333333333333,0.46538224198919664,0.2874769802931747
high,10.0,3.5,soft,6-10,0.3213333333333333,0.11666666666666665,0.11933333333333333,0.912,0.44594346362358833,0.2458133327784192
high,10.0,3.5,soft,11-25,0.3231111111111111,0.13266666666666665,0.118,0.9726666666666667,0.4358259384390972,0.24293190501345688
high,10.0,3.5,soft,26-50,0.304,0.14573333333333333,0.11040000000000001,0.9941333333333333,0.4185990680564623,0.2561696682681663
high,10.0,3.5,soft,51-150,0.21753333333333333,0.1479,0.14543333333333333,0.9997999999999999,0.3676521008156606,0.28973142881184794
low,1.5,2.0,hard,1-5,0.204,0.14333333333333334,0.17133333333333334,0.12466666666666666,0.3705706963913211,0.29788479034900983
low,1.5,2.0,hard,6-10,0.18266666666666664,0.16066666666666665,0.15466666666666667,0.302,0.33753592014783906,0.3087238621084873
