theta_star,psi_star,alpha,c,switch_type,bin,n,n_pers_only,n_inf_only,n_both,n_neither,sum_p_pers,sum_p_inf
0.1,high,1.5,2.0,hard,0,129,26,21,19,63,41.653795327635194,34.290209891404274
0.1,high,1.5,2.0,hard,1,166,31,20,18,97,52.63834642414436,46.21995048869742
0.1,high,1.5,2.0,hard,2,320,59,38,37,186,99.57164935039617,89.59378700806992
0.1,high,1.5,2.0,hard,3,448,70,62,75,241,143.49696122660134,124.72429670761103
0.1,high,1.5,2.0,hard,4,193,35,25,33,100,59.85450728818667,54.94538020408274
0.1,high,1.5,2.0,hard,5,100,17,15,16,52,34.63289144925668,34.008842831254725
0.1,high,1.5,2.0,soft,0,122,21,24,10,67,39.642908711051916,34.377492239876354
0.1,high,1.5,2.0,soft,1,177,27,25,23,102,56.051960012306736,50.196068798163054
0.1,high,1.5,2.0,soft,2,265,39,35,38,153,83.06076872302027,74.04909005652061
0.1,high,1.5,2.0,soft,3,365,60,41,51,213,117.73982187585173,101.20244209087498
0.1,high,1.5,2.0,soft,4,203,29,30,36,108,63.797768147924515,56.91625745488974
0.1,high,1.5,2.0,soft,5,97,18,21,16,42,30.71929085273379,25.733296146167053
0.1,high,1.5,3.5,hard,0,305,44,52,52,157,95.69534214619851,84.49886527219974
0.1,high,1.5,3.5,hard,1,371,63,38,50,220,116.22908915264077,103.2617865834968
0.1,high,1.5,3.5,hard,2,996,157,123,160,556,309.8655390010846,283.3095863121521
0.1,high,1.5,3.5,hard,3,1479,226,168,221,864,449.6321472523854,421.392394925924
0.1,high,1.5,3.5,hard,4,981,124,141,169,547,296.3517390609735,283.61084756573246
0.1,high,1.5,3.5,hard,5,385,54,51,86,194,123.10316459004562,123.72293581556511
0.1,high,1.5,3.5,soft,0,127,26,18,16,67,40.773287467201044,33.54525388925393
0.1,high,1.5,3.5,soft,1,299,40,38,33,188,94.37570160633572,82.87263811420937
0.1,high,1.5,3.5,soft,2,766,116,89,126,435,242.71363232965018,216.89300855358715
0.1,high,1.5,3.5,soft,3,1346,197,158,198,793,416.5213919978128,384.8728527105896
0.1,high,1.5,3.5,soft,4,934,134,108,161,531,280.7918556224146,270.16501716036623
0.1,high,1.5,3.5,soft,5,421,44,54,71,252,126.04653672967959,121.74099852301885
0.1,high,3.0,2.0,hard,0,82,22,13,10,37,27.460113829643603,19.60068108362754
0.1,high,3.0,2.0,hard,1,40,6,5,8,21,12.632309082955361,10.71349768186641
0.1,high,3.0,2.0,hard,2,98,17,14,8,59,31.924149595698967,25.867407000057117
0.1,high,3.0,2.0,hard,3,121,27,20,19,55,38.7333479637761,31.975752692584845
0.1,high,3.0,2.0,hard,4,61,5,7,15,34,20.83606242454864,21.000620089683775
0.1,high,3.0,2.0,hard,5,75,31,7,3,34,38.75700656632369,15.952156661994366
0.1,high,3.0,2.0,soft,0,69,18,7,7,37,24.1257529938847,16.114803620642572
0.1,high,3.0,2.0,soft,1,66,9,11,11,35,22.18949222614574,17.325809438445745
0.1,high,3.0,2.0,soft,2,87,19,19,10,39,29.19836452562207,22.638172421078934
0.1,high,3.0,2.0,soft,3,111,20,15,15,61,35.881780048671985,29.19607869514813
0.1,high,3.0,2.0,soft,4,52,10,7,7,28,16.568101110239873,14.654441973243156
0.1,high,3.0,2.0,soft,5,69,24,9,2,34,32.90726836656023,11.370633941391088
0.1,high,3.0,3.5,hard,0,114,33,12,16,53,37.92170325861039,29.82847339239553
