psi_star,alpha,c,switch_type,f_pers_only,f_inf_only,f_both,f_neither,mean_p_pers,mean_p_inf,mean_p_chosen
high,1.5,2.0,hard,0.17091111111111112,0.16075555555555554,0.15037777777777778,0.5179555555555556,0.32101952207888823,0.31316584413884957,0.31539211458440125
high,1.5,2.0,soft,0.16391111111111112,0.16006666666666666,0.1569111111111111,0.5191111111111111,0.3207730727985229,0.31384361951694456,0.31517844555008234
high,1.5,3.5,hard,0.16253333333333334,0.15593333333333334,0.15839999999999999,0.5231333333333333,0.31951612166035914,0.3135526044279372,0.31506854920876187
high,1.5,3.5,soft,0.16475555555555554,0.15511111111111112,0.15455555555555556,0.5255777777777778,0.32014042054990044,0.3135310086102637,0.3151102693090473
high,3.0,2.0,hard,0.17457777777777778,0.1569111111111111,0.1540888888888889,0.5144222222222222,0.33009211581752074,0.3112232534083798,0.3181322734900467
high,3.0,2.0,soft,0.17588888888888887,0.1638888888888889,0.15126666666666666,0.5089555555555556,0.32768678809488194,0.3115102828499477,0.31687203409865183
high,3.0,3.5,hard,0.17579999999999998,0.15586666666666665,0.15277777777777776,0.5155555555555555,0.3276165442254647,0.31268648521261405,0.31790351764224706
high,3.0,3.5,soft,0.17326666666666665,0.155,0.15468888888888888,0.5170444444444445,0.32617264010863833,0.31168194134008725,0.3169363448665892
high,10.0,2.0,hard,0.24426666666666666,0.12197777777777778,0.15333333333333332,0.4804222222222222,0.3993014142755302,0.27842527115663185,0.36255539284383226
high,10.0,2.0,soft,0.24417777777777777,0.14048888888888889,0.13879999999999998,0.4765333333333333,0.3866639142383833,0.2779517800557108,0.35132894032612594
high,10.0,3.5,hard,0.24304444444444445,0.12744444444444444,0.153,0.4765111111111111,0.3936744292623888,0.2792180984878126,0.3593466990631561
high,10.0,3.5,soft,0.24802222222222223,0.14262222222222223,0.13815555555555556,0.47120000000000006,0.3888280292508533,0.27791876485632516,0.3525661676517515
low,1.5,2.0,hard,0.16486666666666666,0.1608222222222222,0.1552,0.5191111111111111,0.3205561713653246,0.31343468603260255,0.3149673704990465
low,1.5,2.0,soft,0.16417777777777776,0.15975555555555554,0.15693333333333334,0.5191333333333333,0.32069871006270534,0.31347587258649406,0.31512330819555273
low,1.5,3.5,hard,0.16248888888888888,0.15526666666666666,0.1598,0.5224444444444444,0.3196790225954577,0.31334303641031874,0.3150121564585176
low,1.5,3.5,soft,0.1665111111111111,0.16077777777777777,0.15373333333333333,0.5189777777777778,0.31994267937099297,0.3132399419949684,0.31520715866293236
low,3.0,2.0,hard,0.17562222222222224,0.15175555555555556,0.15593333333333334,0.5166888888888889,0.3298285738639124,0.3115128521085389,0.317653758625592
low,3.0,2.0,soft,0.17271111111111112,0.15437777777777778,0.15611111111111112,0.5168,0.3277874885913351,0.31127757821469315,0.31703504609061284
low,3.0,3.5,hard,0.17182222222222224,0.15824444444444444,0.15575555555555556,0.5141777777777777,0.32707858908186044,0.31263368245621675,0.3177495953685684
low,3.0,3.5,soft,0.17191111111111113,0.15844444444444444,0.15344444444444444,0.5162,0.32622215642537145,0.3115260303277416,0.3169106739767515
low,10.0,2.0,hard,0.23804444444444445,0.13042222222222222,0.14804444444444445,0.4834888888888889,0.3886123613043275,0.2796069837327254,0.3590063477073371
low,10.0,2.0,soft,0.24655555555555556,0.14324444444444445,0.13775555555555555,0.47244444444444444,0.3826609176661465,0.2782629971807991,0.3514006372351095
low,10.0,3.5,hard,0.22955555555555554,0.12722222222222224,0.15566666666666668,0.4875555555555556,0.38612603821648456,0.28307888595334646,0.3567654669357306
low,10.0,3.5,soft,0.25066666666666665,0.13866666666666666,0.13286666666666666,0.47780000000000006,0.38381021876948246,0.27503567055644695,0.3538029364920754
