alpha,c,switch_type,n,rate,n_switched,median_tau,abias_cred_r150,abias_vig_r150,abias_sw_r150,std_cred_150,std_vig_150,std_sw_150,mean_abias_cred_post,mean_abias_vig_post,mean_abias_sw_post
1.5,2.0,hard,300,0.21,63,29.0,0.0037935082874600875,0.005287925402323404,0.005287925402323404,0.0026264366404815417,0.00547745754766147,0.00547745754766147,0.008949316618854673,0.013925147463715152,0.013925147463715152
1.5,2.0,soft,300,0.25333333333333335,76,37.0,0.0013087566941976509,0.001966671822102443,0.0017082729229801544,0.003204894019657913,0.004784608430252682,0.00407241784165607,0.008661952734391831,0.011720550347798162,0.009737717639449242
1.5,3.5,hard,300,0.0033333333333333335,1,117.0,2.4259090423695007e-06,0.002553325891494762,0.002553325891494762,0.0004915837780572474,0.01577421836555004,0.01577421836555004,0.0010922170737210552,0.034380960639785324,0.034380960639785324
1.5,3.5,soft,300,0.006666666666666667,2,101.0,0.030688393115997303,0.050555306673049916,0.03564827442169188,0.024344467603157227,0.005308472596595948,0.022619132068911085,0.02748181013822311,0.05061239468065053,0.031266206782977105
3.0,2.0,hard,300,0.74,222,29.5,0.000930853718304421,0.0017972960195562866,0.0017972960195562866,0.0017046965063332036,0.003195354024163251,0.003195354024163251,0.005749783357044913,0.007744911443868682,0.007744911443868682
3.0,2.0,soft,300,0.7666666666666667,230,29.0,0.0006789091294226426,0.0014066373977972095,0.0015708106237909056,0.001146552125884838,0.002211934585183948,0.002422509946846879,0.005345147179752667,0.008197221529030853,0.006775211247286613
3.0,3.5,hard,300,0.4,120,73.0,4.810928056637233e-05,0.0010234944398204461,0.0010234944398204461,0.0006393483753605804,0.003113713159291052,0.003113713159291052,0.0025223920731700052,0.008154727057294912,0.008154727057294912
3.0,3.5,soft,300,0.4066666666666667,122,85.5,0.000274677977698746,0.007447107392744936,0.0005272978519807074,0.0010437342075627686,0.007355484507496692,0.002154252688129362,0.00245968413376259,0.014658590229206785,0.003325892242595788
10.0,2.0,hard,300,1.0,300,4.0,0.00020688317716121638,0.0011150806248188005,0.0011150806248188005,0.0009790256237003617,0.0032358281936834595,0.003235828209357304,0.009068393099832735,0.009926328956002166,0.009926328956002166
10.0,2.0,soft,300,1.0,300,4.0,0.0008178540865580245,0.0021903045574824015,0.002066933741172155,0.00144281948837508,0.0032593964810302403,0.003939090521341661,0.009864085973497206,0.011946756850153955,0.011014768246091773
10.0,3.5,hard,300,1.0,300,6.0,0.0002715011835098284,0.0008772727201382313,0.0008772727201382313,0.001124390451412635,0.0033508487851783464,0.0033508487805019214,0.00907386626857158,0.010031403755887314,0.010031403755887314
10.0,3.5,soft,300,0.9966666666666667,299,6.0,0.000337485660079332,0.0023758751442998546,0.0008842942208350699,0.0010831714077713874,0.0029999782570241424,0.0029160443984142235,0.008562874525041909,0.011249505035481189,0.009394390822930882
