listener,psi_star,alpha,c,switch_type,r25,r50,r100,r150
cred,high,1.5,2.0,hard,0.06515887639423212,0.04809851674735547,0.03235203132530054,0.024583697626988102
cred,high,1.5,2.0,soft,0.05718243035177391,0.042255109732349715,0.028763277719418213,0.023729776034752535
cred,high,1.5,3.5,hard,0.05947473034759363,0.04270943706731002,0.02857965506613256,0.02088142560919127
cred,high,1.5,3.5,soft,0.06206884497404099,0.043772726371884355,0.028656781052549686,0.022213401402036356
cred,high,3.0,2.0,hard,0.07694079387684664,0.061355017229914675,0.051738134135802596,0.04893052440385025
cred,high,3.0,2.0,soft,0.07834940001368525,0.060282116408149414,0.04946022015313308,0.04698024156689645
cred,high,3.0,3.5,hard,0.07456722866495451,0.05936681687335175,0.04956050716837248,0.046366605286796904
cred,high,3.0,3.5,soft,0.07508890070021154,0.06134247022867204,0.05234069602688155,0.049609333197275805
cred,high,10.0,2.0,hard,0.11545542362332346,0.11362455560763678,0.10695323662956557,0.09300047261516256
cred,high,10.0,2.0,soft,0.09827036064863207,0.09561724253495536,0.08673146872719131,0.07698406400283178
cred,high,10.0,3.5,hard,0.11164311007658642,0.1099094352622827,0.09986788002649945,0.08802148535847665
cred,high,10.0,3.5,soft,0.1028123845756054,0.09857788341244063,0.08848313486576082,0.07717100244760515
cred,inf,1.5,2.0,hard,0.025731378590067234,0.013795640930533412,0.005503702968358993,0.004119691133499146
cred,inf,1.5,2.0,soft,0.026700064157446225,0.01327633748948574,0.004634996285041173,0.0020475548356771447
cred,inf,1.5,3.5,hard,0.023177999640504522,0.013279203782478969,0.0054487799008687355,0.0020616731047630303
cred,inf,1.5,3.5,soft,0.02433035316069921,0.014306734412908556,0.00429332509636879,0.001857685128847757
cred,inf,3.0,2.0,hard,0.021776247824231786,0.009936115011572839,0.00229210990170638,0.0006975976278384547
cred,inf,3.0,2.0,soft,0.022485669180750848,0.008722542146841688,0.0014381726880868281,0.0006274105757474894
cred,inf,3.0,3.5,hard,0.022210316037138307,0.010001991937557858,0.0017903417944908143,0.00035461622973283105
cred,inf,3.0,3.5,soft,0.02135090665519238,0.00901857088506222,0.002331274037559828,0.00028562504053115815
cred,inf,10.0,2.0,hard,0.02294096509118875,0.00833658774693807,0.001398638496796292,0.00020688317716121635
cred,inf,10.0,2.0,soft,0.02354454969863097,0.008568654730916024,0.0025051613599061965,0.0008178540865580244
cred,inf,10.0,3.5,hard,0.02258837676048279,0.010041322534283007,0.002055681293209396,0.0002715011835098283
cred,inf,10.0,3.5,soft,0.022942998314897222,0.009075977111856145,0.0020402960379918454,0.0003363608072201422
cred,low,1.5,2.0,hard,0.05542040071388086,0.03947974128027757,0.027774013410011934,0.01978233190874259
cred,low,1.5,2.0,soft,0.06253755879898866,0.04282612642645837,0.029218182027339938,0.023781588609019917
cred,low,1.5,3.5,hard,0.059245425283908845,0.04183669678866864,0.02747965559860071,0.020505609745780633
cred,low,1.5,3.5,soft,0.060866597667336465,0.046606531913081804,0.03374892183641593,0.02526614186664423
cred,low,3.0,2.0,hard,0.07858219974239666,0.06329854648311933,0.053232275242606805,0.047663789153099066
cred,low,3.0,2.0,soft,0.07774182803928853,0.06097013014058272,0.05043434564769268,0.04801850170393786
cred,low,3.0,3.5,hard,0.07790657315154871,0.06163644411166509,0.051183169429500894,0.04704626093308132
cred,low,3.0,3.5,soft,0.07346671901643276,0.05949116461475691,0.05107479336361091,0.047145524288217236
cred,low,10.0,2.0,hard,0.1195230118582646,0.11782006126145521,0.10531875023245811,0.09139075773954392
cred,low,10.0,2.0,soft,0.10805507421493532,0.10217300885419052,0.09166140793760617,0.0801366979777813
cred,low,10.0,3.5,hard,0.1064111254463593,0.10269133755067986,0.09573922785619896,0.08293609120945136
cred,low,10.0,3.5,soft,0.106510754942894,0.10630005730191865,0.09753273421525956,0.08415142220258713
switch,high,1.5,2.0,hard,0.05629143810768923,0.033601482376456264,0.013552843103806184,0.006416645194093391
switch,high,1.5,2.0,soft,0.05334756644070149,0.0348079111079375,0.016340277299284937,0.009280247524380688
switch,high,1.5,3.5,hard,0.057485962018370626,0.03636301523943743,0.015841393113136298,0.008091705143451696
switch,high,1.5,3.5,soft,0.061618544300397246,0.04225908867518108,0.02320972670118015,0.016025313138961796
switch,high,3.0,2.0,hard,0.05144517227013906,0.030589701364437744,0.017624698872367544,0.008931433121363326
switch,high,3.0,2.0,soft,0.06532538086672625,0.03997134269773961,0.019681332399447766,0.011542135541637745
switch,high,3.0,3.5,hard,0.056576889758308734,0.029931050697962452,0.015097633033990868,0.009224156657854723
switch,high,3.0,3.5,soft,0.07275339794158936,0.046920781701803214,0.022649388576547313,0.014683953732252128
switch,high,10.0,2.0,hard,0.1415611958106359,0.1117976659933726,0.07086074059208235,0.04208014750480652
switch,high,10.0,2.0,soft,0.14370359565814336,0.1164966578980287,0.06728308641910555,0.0444517414768537
switch,high,10.0,3.5,hard,0.149059103568395,0.11696319074432056,0.06463339492181938,0.03939790320893129
switch,high,10.0,3.5,soft,0.14877983663479488,0.11450142050782841,0.06746768964827062,0.042100942571957914
switch,inf,1.5,2.0,hard,0.02651656203965346,0.01501940020422141,0.006023299346367517,0.004433518727620442
switch,inf,1.5,2.0,soft,0.026911909197767574,0.0135572672188282,0.004948822741707166,0.002148765613635379
switch,inf,1.5,3.5,hard,0.023177999640504522,0.013279203782478969,0.0054487799008687355,0.002070176104704538
switch,inf,1.5,3.5,soft,0.02433035316069921,0.014306734412908556,0.00429332509636879,0.0018907510042190541
switch,inf,3.0,2.0,hard,0.022865232661366464,0.012404528697331746,0.0035399336616198243,0.0013387649307648353
switch,inf,3.0,2.0,soft,0.02309390353659789,0.010432116255164148,0.0018789165765047068,0.0013112017214298244
switch,inf,3.0,3.5,hard,0.022290984292825066,0.01082436688244343,0.0041525338143110265,0.0007447702934344606
switch,inf,3.0,3.5,soft,0.0213538862913847,0.009345257043838505,0.002737287471691768,0.00038835712273915573
switch,inf,10.0,2.0,hard,0.022769562855362895,0.009703913291295371,0.002557180782159171,0.0011150806248188005
switch,inf,10.0,2.0,soft,0.024774356861909232,0.009640538235505423,0.0038230488946040483,0.002066933741172155
switch,inf,10.0,3.5,hard,0.022855536699295045,0.011349898725748066,0.0028295955359935758,0.0008772727201382313
switch,inf,10.0,3.5,soft,0.023684770445028945,0.010009094357490542,0.0026564511607090656,0.000881346672773361
switch,low,1.5,2.0,hard,0.046814127008120224,0.027795755068461103,0.013679406836628915,0.007455156122644743
switch,low,1.5,2.0,soft,0.0587168600410223,0.03609518311917782,0.01793679398298264,0.010080129956205686
switch,low,1.5,3.5,hard,0.05830459763109684,0.038505527123808864,0.014883078008890155,0.008195405011375747
switch,low,1.5,3.5,soft,0.06073898024857044,0.04580814464390278,0.029153564979632694,0.01667047772308191
switch,low,3.0,2.0,hard,0.053101899822553,0.03490354729195436,0.014566511968771617,0.006364043712615966
switch,low,3.0,2.0,soft,0.06519129821161429,0.04035759790738423,0.021253123978773752,0.012600334326426188
switch,low,3.0,3.5,hard,0.058431972910960514,0.02988190550108751,0.015266998370488487,0.008627708777785304
switch,low,3.0,3.5,soft,0.06967423788209756,0.0470477804094553,0.02581051984926065,0.014606658150752388
switch,low,10.0,2.0,hard,0.14982973349591094,0.11729240766167641,0.06547255526979764,0.03525993364055951
switch,low,10.0,2.0,soft,0.14926046108206112,0.11356952035427093,0.0682350821395715,0.044998309786121043
switch,low,10.0,3.5,hard,0.13851253069937228,0.10789040783544382,0.06686827929317951,0.038918680200974144
switch,low,10.0,3.5,soft,0.15936061061918733,0.12773685443401334,0.07595716784894466,0.04827928994099299
vig,high,1.5,2.0,hard,0.050671109581987075,0.032001062825322155,0.013571181247631714,0.006420794631044074
vig,high,1.5,2.0,soft,0.044391894166668264,0.02818035207688809,0.011862123052279159,0.006237148438890779
vig,high,1.5,3.5,hard,0.046896027550101284,0.02879897338648637,0.013362703447540605,0.007645970031619076
vig,high,1.5,3.5,soft,0.04726562375326952,0.026547356123725573,0.013352331121762599,0.0066653646628061945
vig,high,3.0,2.0,hard,0.05002415049076081,0.030597177922725684,0.01769544348617395,0.00895046150684357
vig,high,3.0,2.0,soft,0.05458776856958867,0.0326527677923441,0.014751232529679938,0.008597254335880284
vig,high,3.0,3.5,hard,0.04955862912535668,0.030913426796595263,0.016626736034949623,0.00977807631095251
vig,high,3.0,3.5,soft,0.04855560378233592,0.027659466480215396,0.013548244799176856,0.00782013480861982
vig,high,10.0,2.0,hard,0.1414448486963908,0.1117976659933726,0.07086074059208235,0.04208014750480652
vig,high,10.0,2.0,soft,0.1257024974425634,0.10157076991597813,0.05799867846568426,0.03813743752737841
vig,high,10.0,3.5,hard,0.1487059901158015,0.1168160682519277,0.06489782414337,0.03950934293369453
vig,high,10.0,3.5,soft,0.1286829386651516,0.10001527862747513,0.05852407150467237,0.0362282473196586
vig,inf,1.5,2.0,hard,0.027522436638673146,0.016024165381987893,0.006143775612115859,0.0044634628891944885
vig,inf,1.5,2.0,soft,0.029088691448171933,0.015105157439907393,0.005583709831039108,0.002222905859351156
vig,inf,1.5,3.5,hard,0.025549590393900874,0.01564625548819701,0.006636492942770323,0.0024002329707145673
vig,inf,1.5,3.5,soft,0.026521525397896772,0.01683262101312479,0.0048498887320359545,0.002286090572675068
vig,inf,3.0,2.0,hard,0.02375345056752364,0.012564717943469684,0.0035574634273846965,0.001340644801656406
vig,inf,3.0,2.0,soft,0.026832382793227832,0.012541199599703155,0.0021895390947659805,0.001186716482043265
vig,inf,3.0,3.5,hard,0.026973859310150144,0.013860347335537274,0.005107086315751073,0.0008795853902896236
vig,inf,3.0,3.5,soft,0.026594952225685125,0.015215388000011442,0.006780009696880975,0.0032179625233014404
vig,inf,10.0,2.0,hard,0.022769819999734563,0.009703913291295371,0.002557180782159171,0.0011150806248188005
vig,inf,10.0,2.0,soft,0.026622417390346525,0.010156082625190419,0.0038373419394095746,0.002190304557482402
vig,inf,10.0,3.5,hard,0.022809158285458882,0.011345538924137755,0.0028295955359935758,0.0008772727201382313
vig,inf,10.0,3.5,soft,0.026582721387346585,0.011522999092936517,0.003500497122605644,0.0023679556598265967
vig,low,1.5,2.0,hard,0.04300778123736382,0.02713443820178509,0.013431713168819744,0.007461107129851978
vig,low,1.5,2.0,soft,0.04732090201973915,0.02651830169558525,0.012707838351527851,0.008290766373276711
vig,low,1.5,3.5,hard,0.04348486929635207,0.028342532843351365,0.013559371779362362,0.007251051828265192
vig,low,1.5,3.5,soft,0.04463297556340694,0.028296612128615378,0.013519052694241206,0.0064119635770718275
vig,low,3.0,2.0,hard,0.05255313608050346,0.03527372881273429,0.01477237156033516,0.006411197821299235
vig,low,3.0,2.0,soft,0.05377110696335633,0.03316371247669061,0.016059276903669036,0.008184589485327402
vig,low,3.0,3.5,hard,0.05184638241430124,0.029424670393268265,0.016180113847057025,0.009114739870031677
vig,low,3.0,3.5,soft,0.04646453975637754,0.02820411673684915,0.015064282253384593,0.007479098508755369
vig,low,10.0,2.0,hard,0.14958620568613212,0.11729240766167641,0.06547255526979764,0.03525993364055951
vig,low,10.0,2.0,soft,0.1279848904212316,0.09376290648678938,0.057128681704401975,0.03710086104770501
vig,low,10.0,3.5,hard,0.13820251612365247,0.1082467865695556,0.06686827929317951,0.038918680200974144
vig,low,10.0,3.5,soft,0.14441742884616054,0.11466230413814385,0.06722177448868752,0.04216107621788978
