psi_star,alpha,block,f_some
high,1.5,1-10,0.5790833333333333
high,1.5,11-50,0.5776666666666667
high,1.5,51-150,0.571725
high,3.0,1-10,0.6061666666666666
high,3.0,11-50,0.578375
high,3.0,51-150,0.57585
high,10.0,1-10,0.63025
high,10.0,11-50,0.6555833333333334
high,10.0,51-150,0.61365
inf,1.5,1-10,0.4063333333333333
inf,1.5,11-50,0.4477708333333333
inf,1.5,51-150,0.4525416666666667
inf,3.0,1-10,0.3619166666666667
inf,3.0,11-50,0.40014583333333337
inf,3.0,51-150,0.398
inf,10.0,1-10,0.31366666666666665
inf,10.0,11-50,0.3579375
inf,10.0,51-150,0.36230833333333334
low,1.5,1-10,0.58775
low,1.5,11-50,0.5768541666666667
low,1.5,51-150,0.5731833333333333
low,3.0,1-10,0.59475
low,3.0,11-50,0.5813333333333334
low,3.0,51-150,0.5761000000000001
low,10.0,1-10,0.62875
low,10.0,11-50,0.6563958333333333
low,10.0,51-150,0.6164916666666667
