psi_star,alpha,c,switch_type,rate,n,median_tau,mean_tau
high,1.5,2.0,hard,0.9933333333333333,300,20.0,26.825503355704697
high,1.5,2.0,hard_amnesic,0.9933333333333333,300,20.0,26.825503355704697
high,1.5,2.0,soft,0.9933333333333333,300,20.0,26.825503355704697
high,1.5,3.5,hard,0.85,300,65.0,69.24313725490197
high,1.5,3.5,hard_amnesic,0.85,300,65.0,69.24313725490197
high,1.5,3.5,soft,0.85,300,65.0,69.24313725490197
high,3.0,2.0,hard,0.98,300,6.0,14.452380952380953
high,3.0,2.0,hard_amnesic,0.98,300,6.0,14.452380952380953
high,3.0,2.0,soft,0.98,300,6.0,14.452380952380953
high,3.0,3.5,hard,0.8966666666666666,300,19.0,29.044609665427508
high,3.0,3.5,hard_amnesic,0.8966666666666666,300,19.0,29.044609665427508
high,3.0,3.5,soft,0.8966666666666666,300,19.0,29.044609665427508
high,10.0,2.0,hard,1.0,300,1.0,3.1633333333333336
high,10.0,2.0,hard_amnesic,1.0,300,1.0,3.1633333333333336
high,10.0,2.0,soft,1.0,300,1.0,3.1633333333333336
high,10.0,3.5,hard,1.0,300,1.0,5.4
high,10.0,3.5,hard_amnesic,1.0,300,1.0,5.4
high,10.0,3.5,soft,1.0,300,1.0,5.4
inf,1.5,2.0,hard,0.15333333333333332,300,17.0,34.5
inf,1.5,2.0,hard_amnesic,0.15333333333333332,300,17.0,34.5
inf,1.5,2.0,soft,0.15333333333333332,300,17.0,34.5
inf,1.5,3.5,hard,0.006666666666666667,300,73.0,73.0
inf,1.5,3.5,hard_amnesic,0.006666666666666667,300,73.0,73.0
inf,1.5,3.5,soft,0.006666666666666667,300,73.0,73.0
inf,3.0,2.0,hard,0.65,300,47.0,55.738461538461536
inf,3.0,2.0,hard_amnesic,0.65,300,47.0,55.738461538461536
inf,3.0,2.0,soft,0.65,300,47.0,55.738461538461536
inf,3.0,3.5,hard,0.27666666666666667,300,103.0,100.08433734939759
inf,3.0,3.5,hard_amnesic,0.27666666666666667,300,103.0,100.08433734939759
inf,3.0,3.5,soft,0.27666666666666667,300,103.0,100.08433734939759
inf,10.0,2.0,hard,0.9933333333333333,300,11.0,13.791946308724832
inf,10.0,2.0,hard_amnesic,0.9933333333333333,300,11.0,13.791946308724832
inf,10.0,2.0,soft,0.9933333333333333,300,11.0,13.791946308724832
inf,10.0,3.5,hard,0.98,300,19.0,28.452380952380953
inf,10.0,3.5,hard_amnesic,0.98,300,19.0,28.452380952380953
inf,10.0,3.5,soft,0.98,300,19.0,28.452380952380953
low,1.5,2.0,hard,0.99,300,19.0,26.1010101010101
low,1.5,2.0,hard_amnesic,0.99,300,19.0,26.1010101010101
low,1.5,2.0,soft,0.99,300,19.0,26.1010101010101
low,1.5,3.5,hard,0.8766666666666667,300,75.0,75.80608365019012
low,1.5,3.5,hard_amnesic,0.8766666666666667,300,75.0,75.80608365019012
low,1.5,3.5,soft,0.8766666666666667,300,75.0,75.80608365019012
low,3.0,2.0,hard,0.98,300,6.0,13.520408163265307
low,3.0,2.0,hard_amnesic,0.98,300,6.0,13.520408163265307
low,3.0,2.0,soft,0.98,300,6.0,13.520408163265307
low,3.0,3.5,hard,0.92,300,19.0,28.77173913043478
low,3.0,3.5,hard_amnesic,0.92,300,19.0,28.77173913043478
low,3.0,3.5,soft,0.92,300,19.0,28.77173913043478
low,10.0,2.0,hard,1.0,300,1.0,3.966666666666667
low,10.0,2.0,hard_amnesic,1.0,300,1.0,3.966666666666667
low,10.0,2.0,soft,1.0,300,1.0,3.966666666666667
low,10.0,3.5,hard,1.0,300,1.0,6.1866666666666665
low,10.0,3.5,hard_amnesic,1.0,300,1.0,6.1866666666666665
low,10.0,3.5,soft,1.0,300,1.0,6.1866666666666665
