psi_star,alpha,c,switch_type,n,rate,mean_tau,median_tau,abias_cred_at_tau,bias_cred_at_tau,abias_sw_at_tau,recovery_median,recovery_mean,recovery_frac,mean_abias_sw_post,mean_abias_cred_post,mean_abias_vig_post
high,1.5,2.0,hard,300,0.9933333333333333,26.825503355704697,20.0,0.09397269156855226,0.03519436264498122,0.08528205835379211,0.0,0.0,1.0,0.020252563180623333,0.03661548432337642,0.020252563180623333
high,1.5,2.0,hard_amnesic,300,0.9933333333333333,26.825503355704697,20.0,0.09397269156855226,0.03519436264498122,0.2402684563758389,2.0,8.518771331058021,0.9832214765100671,0.03428560411325296,0.03661548432337642,0.020252563180623333
high,1.5,2.0,soft,300,0.9933333333333333,26.825503355704697,20.0,0.09397269156855226,0.03519436264498122,0.09439671998656037,0.0,11.366438356164384,0.9798657718120806,0.02654037476967732,0.03661548432337642,0.020252563180623333
high,1.5,3.5,hard,300,0.85,69.24313725490197,65.0,0.052228151665014384,0.021362496111907214,0.030641699211270208,0.0,0.0,1.0,0.012521829497390587,0.03245832060960094,0.012521829497390587
high,1.5,3.5,hard_amnesic,300,0.85,69.24313725490197,65.0,0.052228151665014384,0.021362496111907214,0.2415686274509804,4.0,9.381974248927039,0.9137254901960784,0.05006585301433279,0.03245832060960094,0.012521829497390587
high,1.5,3.5,soft,300,0.85,69.24313725490197,65.0,0.052228151665014384,0.021362496111907214,0.052495512302015344,0.0,10.563636363636364,0.8627450980392157,0.02735076102275113,0.03245832060960094,0.012521829497390587
high,3.0,2.0,hard,300,0.98,14.452380952380953,6.0,0.13927184835988649,0.07540665216186421,0.12817083609347443,0.0,0.0,1.0,0.02958868056088174,0.062453383506816576,0.02958868056088174
high,3.0,2.0,hard_amnesic,300,0.98,14.452380952380953,6.0,0.13927184835988649,0.07540665216186421,0.24081632653061225,1.0,5.631399317406143,0.9965986394557823,0.03812260480250916,0.062453383506816576,0.02958868056088174
high,3.0,2.0,soft,300,0.98,14.452380952380953,6.0,0.13927184835988649,0.07540665216186421,0.1390688116250395,0.0,11.562068965517241,0.9863945578231292,0.036596753397838015,0.062453383506816576,0.02958868056088174
high,3.0,3.5,hard,300,0.8966666666666666,29.044609665427508,19.0,0.12276869648894413,0.07697918579037748,0.09054805284095963,0.0,0.0,1.0,0.024992842365805734,0.06356426145063898,0.024992842365805734
high,3.0,3.5,hard_amnesic,300,0.8966666666666666,29.044609665427508,19.0,0.12276869648894413,0.07697918579037748,0.24460966542750928,3.0,8.9438202247191,0.9925650557620818,0.040721468960699767,0.06356426145063898,0.024992842365805734
high,3.0,3.5,soft,300,0.8966666666666666,29.044609665427508,19.0,0.12276869648894413,0.07697918579037748,0.12239747089524251,2.0,19.74493927125506,0.9182156133828996,0.043103454251940586,0.06356426145063898,0.024992842365805734
high,10.0,2.0,hard,300,1.0,3.1633333333333336,1.0,0.18240454850594204,0.12119515150785447,0.17490699768066406,0.0,0.0,1.0,0.0983622261312202,0.10596807515061842,0.0983622261312202
high,10.0,2.0,hard_amnesic,300,1.0,3.1633333333333336,1.0,0.18240454850594204,0.12119515150785447,0.24,0.0,2.2666666666666666,1.0,0.10242960087032724,0.10596807515061842,0.0983622261312202
high,10.0,2.0,soft,300,1.0,3.1633333333333336,1.0,0.18240454850594204,0.12119515150785447,0.18385835438966752,0.0,5.462585034013605,0.98,0.10667244113937167,0.10596807515061842,0.0983622261312202
high,10.0,3.5,hard,300,1.0,5.4,1.0,0.1777065882086754,0.11935198257366816,0.16723695665597915,0.0,0.0,1.0,0.09779367962674326,0.10549738685316899,0.09779367962674326
