c,switch_type,psi_star,rate,median_tau
2.0,hard,high,0.7711111111111112,1.0
2.0,hard,inf,0.11,12.0
2.0,hard,low,0.7444444444444445,1.0
2.0,hard_amnesic,high,0.7711111111111112,1.0
2.0,hard_amnesic,inf,0.11,12.0
2.0,hard_amnesic,low,0.7444444444444445,1.0
2.0,soft,high,0.7711111111111112,1.0
2.0,soft,inf,0.11,12.0
2.0,soft,low,0.7444444444444445,1.0
3.5,hard,high,0.5466666666666666,3.0
3.5,hard,inf,0.0022222222222222222,37.0
3.5,hard,low,0.5433333333333333,16.0
3.5,hard_amnesic,high,0.5466666666666666,3.0
3.5,hard_amnesic,inf,0.0022222222222222222,37.0
3.5,hard_amnesic,low,0.5433333333333333,16.0
3.5,soft,high,0.5466666666666666,3.0
3.5,soft,inf,0.0022222222222222222,37.0
3.5,soft,low,0.5433333333333333,16.0
