listener,psi_star,alpha,c,switch_type,mean_abias,abias_r150,std_150
cred,high,1.5,2.0,hard,0.056216203036308296,0.04474311411380769,0.008198490246768416
cred,high,1.5,2.0,hard_amnesic,0.056216203036308296,0.04474311411380769,0.008198490246768416
cred,high,1.5,2.0,soft,0.056216203036308296,0.04474311411380769,0.008198490246768416
cred,high,1.5,3.5,hard,0.056216203036308296,0.04474311411380769,0.008198490246768416
cred,high,1.5,3.5,hard_amnesic,0.056216203036308296,0.04474311411380769,0.008198490246768416
cred,high,1.5,3.5,soft,0.056216203036308296,0.04474311411380769,0.008198490246768416
cred,high,3.0,2.0,hard,0.07177612404002084,0.059509375701348,0.0069838058645518685
cred,high,3.0,2.0,hard_amnesic,0.07177612404002084,0.059509375701348,0.0069838058645518685
cred,high,3.0,2.0,soft,0.07177612404002084,0.059509375701348,0.0069838058645518685
cred,high,3.0,3.5,hard,0.07177612404002084,0.059509375701348,0.0069838058645518685
cred,high,3.0,3.5,hard_amnesic,0.07177612404002084,0.059509375701348,0.0069838058645518685
cred,high,3.0,3.5,soft,0.07177612404002084,0.059509375701348,0.0069838058645518685
cred,high,10.0,2.0,hard,0.0945385403164228,0.06844966969887417,0.009073627888627318
cred,high,10.0,2.0,hard_amnesic,0.0945385403164228,0.06844966969887417,0.009073627888627318
cred,high,10.0,2.0,soft,0.0945385403164228,0.06844966969887417,0.009073627888627318
cred,high,10.0,3.5,hard,0.0945385403164228,0.06844966969887417,0.009073627888627318
cred,high,10.0,3.5,hard_amnesic,0.0945385403164228,0.06844966969887417,0.009073627888627318
cred,high,10.0,3.5,soft,0.0945385403164228,0.06844966969887417,0.009073627888627318
cred,inf,1.5,2.0,hard,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
cred,inf,1.5,2.0,hard_amnesic,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
cred,inf,1.5,2.0,soft,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
cred,inf,1.5,3.5,hard,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
cred,inf,1.5,3.5,hard_amnesic,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
cred,inf,1.5,3.5,soft,0.014857256423532967,0.0008138419240713119,0.0020741717839669166
cred,inf,3.0,2.0,hard,0.010587478118538857,0.0005535726497570663,0.0011643918576747906
cred,inf,3.0,2.0,hard_amnesic,0.010587478118538857,0.0005535726497570663,0.0011643918576747906
cred,inf,3.0,2.0,soft,0.010587478118538857,0.0005535726497570663,0.0011643918576747906
cred,inf,3.0,3.5,hard,0.010587478118538857,0.0005535726497570663,0.0011643918576747906
