listener,psi_star,alpha,c,switch_type,theta_star,mean_abias,abias_r150,std_150
cred,high,1.5,2.0,hard,0.1,0.09088651856283349,0.08406056712071101,0.007036335262061281
cred,high,1.5,2.0,hard,0.3,0.019886845507224398,0.0024354356527328423,0.004013960020044275
cred,high,1.5,2.0,hard,0.5,0.07995604244040118,0.0620619719227155,0.014732226568836874
cred,high,1.5,2.0,hard,0.7,0.015498883188433147,0.0011627576748530469,0.004247503381217636
cred,high,1.5,2.0,hard,0.9,0.07485272548264929,0.07399483819802605,0.01096242600168201
cred,high,1.5,2.0,hard_amnesic,0.1,0.09088651856283349,0.08406056712071101,0.007036335262061281
cred,high,1.5,2.0,hard_amnesic,0.3,0.019886845507224398,0.0024354356527328423,0.004013960020044275
cred,high,1.5,2.0,hard_amnesic,0.5,0.07995604244040118,0.0620619719227155,0.014732226568836874
cred,high,1.5,2.0,hard_amnesic,0.7,0.015498883188433147,0.0011627576748530469,0.004247503381217636
cred,high,1.5,2.0,hard_amnesic,0.9,0.07485272548264929,0.07399483819802605,0.01096242600168201
cred,high,1.5,2.0,soft,0.1,0.09088651856283349,0.08406056712071101,0.007036335262061281
cred,high,1.5,2.0,soft,0.3,0.019886845507224398,0.0024354356527328423,0.004013960020044275
cred,high,1.5,2.0,soft,0.5,0.07995604244040118,0.0620619719227155,0.014732226568836874
cred,high,1.5,2.0,soft,0.7,0.015498883188433147,0.0011627576748530469,0.004247503381217636
cred,high,1.5,2.0,soft,0.9,0.07485272548264929,0.07399483819802605,0.01096242600168201
cred,high,1.5,3.5,hard,0.1,0.09088651856283349,0.08406056712071101,0.007036335262061281
cred,high,1.5,3.5,hard,0.3,0.019886845507224398,0.0024354356527328423,0.004013960020044275
cred,high,1.5,3.5,hard,0.5,0.07995604244040118,0.0620619719227155,0.014732226568836874
cred,high,1.5,3.5,hard,0.7,0.015498883188433147,0.0011627576748530469,0.004247503381217636
cred,high,1.5,3.5,hard,0.9,0.07485272548264929,0.07399483819802605,0.01096242600168201
cred,high,1.5,3.5,hard_amnesic,0.1,0.09088651856283349,0.08406056712071101,0.007036335262061281
cred,high,1.5,3.5,hard_amnesic,0.3,0.019886845507224398,0.0024354356527328423,0.004013960020044275
cred,high,1.5,3.5,hard_amnesic,0.5,0.07995604244040118,0.0620619719227155,0.014732226568836874
cred,high,1.5,3.5,hard_amnesic,0.7,0.015498883188433147,0.0011627576748530469,0.004247503381217636
cred,high,1.5,3.5,hard_amnesic,0.9,0.07485272548264929,0.07399483819802605,0.01096242600168201
cred,high,1.5,3.5,soft,0.1,0.09088651856283349,0.08406056712071101,0.007036335262061281
