alpha,c,switch_type,n,rate,n_switched,median_tau,abias_cred_r150,abias_vig_r150,abias_sw_r150,std_cred_150,std_vig_150,std_sw_150,mean_abias_cred_post,mean_abias_vig_post,mean_abias_sw_post
1.5,2.0,hard,300,0.12333333333333334,37.0,12.0,0.0005797800985542485,0.0007401140155018974,0.0007401140155018974,0.0025708830893573426,0.0035873880271644907,0.0035873880271644907,0.011838560984714872,0.014822544481130883,0.014822544481130883
1.5,2.0,hard_amnesic,300,0.12333333333333334,37.0,12.0,0.0005797800985542485,0.0007401140155018974,0.0029572658039428074,0.0025708830893573426,0.0035873880271644907,0.005663974693793403,0.011838560984714872,0.014822544481130883,0.021207956786067846
1.5,2.0,soft,300,0.12333333333333334,37.0,12.0,0.0005797800985542485,0.0007401140155018974,0.0006505586408280025,0.0025708830893573426,0.0035873880271644907,0.003035459245106947,0.011838560984714872,0.014822544481130883,0.013129649597557748
1.5,3.5,hard,300,0.0,,,,,,,,,,,
1.5,3.5,hard_amnesic,300,0.0,,,,,,,,,,,
1.5,3.5,soft,300,0.0,,,,,,,,,,,
3.0,2.0,hard,300,0.18333333333333332,55.0,1.0,4.7856298359957106e-05,4.839534109288784e-05,4.839534109288784e-05,0.0009212820490526085,0.0009666116701787176,0.0009666116701787176,0.011300788661572782,0.012504144263532465,0.012504144263532465
3.0,2.0,hard_amnesic,300,0.18333333333333332,55.0,1.0,4.7856298359957106e-05,4.839534109288784e-05,0.0009932002154263563,0.0009212820490526085,0.0009666116701787176,0.003725616874163561,0.011300788661572782,0.012504144263532465,0.017990998355001217
3.0,2.0,soft,300,0.18333333333333332,55.0,1.0,4.7856298359957106e-05,4.839534109288784e-05,4.867331548170398e-05,0.0009212820490526085,0.0009666116701787176,0.0009800411995602594,0.011300788661572782,0.012504144263532465,0.012808865869511734
3.0,3.5,hard,300,0.0033333333333333335,1.0,3.0,1.1920928910669204e-08,1.1920928910669204e-08,1.1920928910669204e-08,2.446726466587279e-05,2.446731014060788e-05,2.446731014060788e-05,0.0241202569491154,0.028467082977294875,0.028467082977294875
3.0,3.5,hard_amnesic,300,0.0033333333333333335,1.0,3.0,1.1920928910669204e-08,1.1920928910669204e-08,1.1920928910669204e-08,2.446726466587279e-05,2.446731014060788e-05,2.6809235350810923e-05,0.0241202569491154,0.028467082977294875,0.026856538089545953
3.0,3.5,soft,300,0.0033333333333333335,1.0,3.0,1.1920928910669204e-08,1.1920928910669204e-08,1.1920928910669204e-08,2.446726466587279e-05,2.446731014060788e-05,2.3453507310478017e-05,0.0241202569491154,0.028467082977294875,0.024733584716513306
10.0,2.0,hard,300,0.023333333333333334,7.0,44.0,3.9752040590558734e-05,3.9752040590558734e-05,3.9752040590558734e-05,0.0011142465399253914,0.0011142465399253914,0.0011142465399253914,0.01113131315324724,0.010792575628118754,0.010792575628118754
10.0,2.0,hard_amnesic,300,0.023333333333333334,7.0,44.0,3.9752040590558734e-05,3.9752040590558734e-05,0.01222854426928929,0.0011142465399253914,0.0011142465399253914,0.01969889016722196,0.01113131315324724,0.010792575628118754,0.039568280713944796
10.0,2.0,soft,300,0.023333333333333334,7.0,44.0,3.9752040590558734e-05,3.9752040590558734e-05,4.3217624936785016e-05,0.0011142465399253914,0.0011142465399253914,0.0011144887669485928,0.01113131315324724,0.010792575628118754,0.0118511256043703
10.0,3.5,hard,300,0.0033333333333333335,1.0,71.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,6.800613482482731e-05,6.800613482482731e-05,6.800613482482731e-05,7.961727678775787e-05,7.961727678775787e-05,7.961727678775787e-05
10.0,3.5,hard_amnesic,300,0.0033333333333333335,1.0,71.0,5.960464477539063e-08,5.960464477539063e-08,0.0005289316177368164,6.800613482482731e-05,6.800613482482731e-05,0.007270946633070707,7.961727678775787e-05,7.961727678775787e-05,0.009721684083342553
10.0,3.5,soft,300,0.0033333333333333335,1.0,71.0,5.960464477539063e-08,5.960464477539063e-08,0.0,6.800613482482731e-05,6.800613482482731e-05,6.110896356403828e-05,7.961727678775787e-05,7.961727678775787e-05,9.168796241283416e-05
