psi_star,alpha,block,f_some
high,1.5,1-10,0.58
high,1.5,11-50,0.5714166666666667
high,1.5,51-150,0.5728
high,3.0,1-10,0.601
high,3.0,11-50,0.5759166666666666
high,3.0,51-150,0.5708666666666666
high,10.0,1-10,0.6466666666666667
high,10.0,11-50,0.5775
high,10.0,51-150,0.5716666666666667
inf,1.5,1-10,0.415
inf,1.5,11-50,0.45225000000000004
inf,1.5,51-150,0.45326666666666665
inf,3.0,1-10,0.3526666666666667
inf,3.0,11-50,0.40775
inf,3.0,51-150,0.39826666666666666
inf,10.0,1-10,0.336
inf,10.0,11-50,0.36699999999999994
inf,10.0,51-150,0.35633333333333334
low,1.5,1-10,0.5883333333333333
low,1.5,11-50,0.5795833333333333
low,1.5,51-150,0.5662666666666667
low,3.0,1-10,0.6036666666666667
low,3.0,11-50,0.5735
low,3.0,51-150,0.5715666666666666
low,10.0,1-10,0.64
low,10.0,11-50,0.5918333333333333
low,10.0,51-150,0.5725
