psi_star,alpha,c,switch_type,block,f_pers_only,f_inf_only,f_both,p_switched,mean_p_pers,mean_p_inf
high,3.0,2.0,hard_amnesic,1-5,0.25066666666666665,0.11266666666666665,0.1653333333333333,0.35666666666666663,0.43650359927014615,0.28082005105184615
high,3.0,2.0,hard_amnesic,6-10,0.22399999999999998,0.13533333333333333,0.15933333333333333,0.5886666666666667,0.39056249027268747,0.2988167518956486
high,3.0,2.0,hard_amnesic,11-25,0.19599999999999998,0.14933333333333332,0.16,0.7313333333333334,0.3578669803033891,0.31136479886663426
high,3.0,2.0,hard_amnesic,26-50,0.18746666666666667,0.156,0.15466666666666665,0.8670666666666667,0.33475364776752387,0.3151510809414825
high,3.0,2.0,hard_amnesic,51-150,0.17176666666666665,0.16216666666666665,0.15243333333333334,0.9378666666666666,0.32117574925286074,0.31431227474612566
high,3.0,3.5,hard_amnesic,1-5,0.24600000000000002,0.10466666666666667,0.17,0.06266666666666666,0.41738221955906485,0.2850786549491435
high,3.0,3.5,hard_amnesic,6-10,0.2053333333333333,0.146,0.142,0.196,0.3578503239974817,0.2878744035025853
high,3.0,3.5,hard_amnesic,11-25,0.18711111111111112,0.15844444444444444,0.1557777777777778,0.3948888888888889,0.35107895858429866,0.30859972836288546
high,3.0,3.5,hard_amnesic,26-50,0.18573333333333333,0.15826666666666664,0.15626666666666666,0.6744,0.33969043152600276,0.31284809929312996
high,3.0,3.5,hard_amnesic,51-150,0.17326666666666665,0.16413333333333333,0.15033333333333335,0.8613999999999999,0.32301163662340543,0.31324488796145716
low,3.0,2.0,hard_amnesic,1-5,0.24866666666666667,0.106,0.18,0.3506666666666666,0.43542914099345653,0.2866112149324837
low,3.0,2.0,hard_amnesic,6-10,0.22066666666666668,0.13733333333333334,0.17666666666666667,0.5566666666666666,0.38250921030638657,0.2949768831816093
low,3.0,2.0,hard_amnesic,11-25,0.18733333333333335,0.14244444444444446,0.16799999999999998,0.7244444444444444,0.35564783509259323,0.3118977749312226
low,3.0,2.0,hard_amnesic,26-50,0.17466666666666666,0.15933333333333335,0.1544,0.872,0.3344189078252506,0.31273544901198014
low,3.0,2.0,hard_amnesic,51-150,0.16956666666666667,0.16513333333333333,0.15036666666666668,0.9602333333333334,0.32107242786354523,0.3139789261688367
low,3.0,3.5,hard_amnesic,1-5,0.21866666666666668,0.11800000000000001,0.16933333333333334,0.064,0.4158825411339825,0.28920929765837455
low,3.0,3.5,hard_amnesic,6-10,0.21866666666666668,0.17600000000000002,0.13666666666666666,0.20466666666666666,0.3622326114776911,0.2896666993282851
low,3.0,3.5,hard_amnesic,11-25,0.18933333333333333,0.16111111111111112,0.15755555555555556,0.3933333333333333,0.3526856062318636,0.3083111835854894
low,3.0,3.5,hard_amnesic,26-50,0.18533333333333335,0.1616,0.15293333333333334,0.6724,0.33954288922789466,0.3134992971924343
low,3.0,3.5,hard_amnesic,51-150,0.1696,0.16116666666666665,0.15226666666666666,0.8551,0.3225758619906518,0.3136792760522011
