theta_star,psi_star,alpha,c,switch_type,bin,n,n_pers_only,n_inf_only,n_both,n_neither,sum_p_pers,sum_p_inf
0.1,high,3.0,2.0,hard_amnesic,0,57,28,4,4,21,20.23620109197046,13.330142387572183
0.1,high,3.0,2.0,hard_amnesic,1,48,10,6,9,23,15.857166014355247,12.739318080891882
0.1,high,3.0,2.0,hard_amnesic,2,91,18,12,8,53,30.039726582574126,23.39125987122554
0.1,high,3.0,2.0,hard_amnesic,3,91,21,9,14,47,28.93851976315707,24.46301826457166
0.1,high,3.0,2.0,hard_amnesic,4,52,10,1,9,32,15.195059232107427,11.738485513364045
0.1,high,3.0,2.0,hard_amnesic,5,60,31,5,1,23,30.303081245576774,5.824057513059475
0.1,high,3.0,3.5,hard_amnesic,0,64,22,10,5,27,22.033849414070374,16.34151374972285
0.1,high,3.0,3.5,hard_amnesic,1,104,20,17,8,59,34.17910202505368,26.537728077376755
0.1,high,3.0,3.5,hard_amnesic,2,275,58,48,36,133,88.90484436350715,73.3290132200222
0.1,high,3.0,3.5,hard_amnesic,3,461,83,61,60,257,157.0203417354535,116.22859228763281
0.1,high,3.0,3.5,hard_amnesic,4,273,45,30,37,161,91.74251794905103,70.29162106329804
0.1,high,3.0,3.5,hard_amnesic,5,106,26,8,10,62,36.50580817671029,15.327664123684123
0.1,low,3.0,2.0,hard_amnesic,0,119,17,10,27,65,36.758778831439855,36.713328661005974
0.1,low,3.0,2.0,hard_amnesic,1,92,15,16,16,45,28.51910767686041,28.470743775039615
0.1,low,3.0,2.0,hard_amnesic,2,149,23,20,22,84,44.67958887203042,44.60071214740389
0.1,low,3.0,2.0,hard_amnesic,3,234,37,40,27,130,70.34934398176003,73.99908431577279
0.1,low,3.0,2.0,hard_amnesic,4,178,26,40,32,80,53.279172867779245,83.79000024515128
0.1,low,3.0,2.0,hard_amnesic,5,115,5,31,26,53,36.703057153050494,59.09841447966591
0.1,low,3.0,3.5,hard_amnesic,0,147,21,19,32,75,45.25608591769627,45.179117498765805
0.1,low,3.0,3.5,hard_amnesic,1,179,27,24,26,102,53.57065403977518,53.38790102412354
0.1,low,3.0,3.5,hard_amnesic,2,272,43,54,34,141,81.82733437068401,81.61378864940299
0.1,low,3.0,3.5,hard_amnesic,3,460,84,72,56,248,141.0223907162168,140.62952575022595
0.1,low,3.0,3.5,hard_amnesic,4,440,81,77,57,225,131.07529118977544,133.20120426013585
0.1,low,3.0,3.5,hard_amnesic,5,326,26,86,79,135,96.19441125580471,158.74666014426117
0.3,high,3.0,2.0,hard_amnesic,0,298,59,97,22,120,100.32218443018073,98.12939667214259
0.3,high,3.0,2.0,hard_amnesic,1,107,28,32,8,39,36.074287529416395,35.55612438358133
0.3,high,3.0,2.0,hard_amnesic,2,155,40,35,8,72,52.174768504492135,50.67789744084952
0.3,high,3.0,2.0,hard_amnesic,3,235,66,68,18,83,77.88014597628282,76.44402971379351
0.3,high,3.0,2.0,hard_amnesic,4,74,24,20,4,26,24.345472557921216,23.989071395138094
0.3,high,3.0,2.0,hard_amnesic,5,74,20,6,3,45,29.36994408891318,16.280785313249833
0.3,high,3.0,3.5,hard_amnesic,0,98,33,21,3,41,36.37284893167874,30.242242977564807
0.3,high,3.0,3.5,hard_amnesic,1,132,27,34,9,62,45.52041787753997,43.64380157740989
0.3,high,3.0,3.5,hard_amnesic,2,463,111,107,27,218,156.56319578562204,151.690226962865
0.3,high,3.0,3.5,hard_amnesic,3,1042,292,284,75,391,352.6395082619828,335.48516953588245
0.3,high,3.0,3.5,hard_amnesic,4,466,127,119,20,200,158.06029282679648,146.98831699392156
0.3,high,3.0,3.5,hard_amnesic,5,282,90,72,12,108,94.32898300799533,82.24757909849079
0.3,low,3.0,2.0,hard_amnesic,0,382,45,44,86,207,127.01992846715638,123.25751967072412
0.3,low,3.0,2.0,hard_amnesic,1,313,35,32,66,180,102.97181588252124,101.70431446535957
0.3,low,3.0,2.0,hard_amnesic,2,523,57,56,112,298,173.30402300597862,170.99712424929672
0.3,low,3.0,2.0,hard_amnesic,3,746,62,53,192,439,245.59587837340416,242.61465806636278
0.3,low,3.0,2.0,hard_amnesic,4,461,43,47,127,244,153.17377163187564,153.56330539366417
0.3,low,3.0,2.0,hard_amnesic,5,247,17,16,71,143,96.79122642660894,102.0947126797604
0.3,low,3.0,3.5,hard_amnesic,0,226,23,20,42,141,75.65256696643908,73.78066210919559
0.3,low,3.0,3.5,hard_amnesic,1,750,95,100,148,407,247.1479071397002,243.60784320663373
0.3,low,3.0,3.5,hard_amnesic,2,1081,141,143,212,585,356.57202884151695,351.76448508421896
0.3,low,3.0,3.5,hard_amnesic,3,1852,173,181,430,1068,610.4651474698768,604.6380495158153
0.3,low,3.0,3.5,hard_amnesic,4,1191,84,84,305,718,392.19051026147423,390.3484411696272
0.3,low,3.0,3.5,hard_amnesic,5,498,40,32,126,300,169.45641678183557,177.12382910376957
0.5,high,3.0,2.0,hard_amnesic,0,85,11,11,19,44,32.14744306809542,27.40918439145777
0.5,high,3.0,2.0,hard_amnesic,1,49,10,9,10,20,17.38079031008,15.417363477688554
0.5,high,3.0,2.0,hard_amnesic,2,88,14,10,19,45,33.04904450980999,29.417916522910666
0.5,high,3.0,2.0,hard_amnesic,3,72,10,12,12,38,26.13354883593753,23.41019281160715
0.5,high,3.0,2.0,hard_amnesic,4,39,5,5,6,23,13.221892962170678,14.11348091592252
0.5,high,3.0,2.0,hard_amnesic,5,73,16,13,14,30,31.00341099210661,26.03967434298081
0.5,high,3.0,3.5,hard_amnesic,0,80,14,14,15,37,30.20978879463741,25.90388137722028
0.5,high,3.0,3.5,hard_amnesic,1,74,15,10,12,37,26.67736135271711,22.912560570934204
0.5,high,3.0,3.5,hard_amnesic,2,172,35,16,34,87,61.33106718979363,54.062427764284365
0.5,high,3.0,3.5,hard_amnesic,3,468,78,64,99,227,167.75563467695122,150.249884187041
0.5,high,3.0,3.5,hard_amnesic,4,275,47,42,61,125,98.53360470113611,90.15141104187664
0.5,high,3.0,3.5,hard_amnesic,5,140,21,24,36,59,52.49318272898596,56.85341452920723
0.5,low,3.0,2.0,hard_amnesic,0,49,10,5,11,23,19.57750949793746,16.70028029385904
0.5,low,3.0,2.0,hard_amnesic,1,36,3,4,7,22,12.824366314915391,11.304279135941256
0.5,low,3.0,2.0,hard_amnesic,2,63,16,7,9,31,23.05491277531733,19.51923807389748
0.5,low,3.0,2.0,hard_amnesic,3,88,18,14,20,36,31.148780855249232,28.619712394554238
0.5,low,3.0,2.0,hard_amnesic,4,49,7,7,13,22,17.71669373511833,19.17224752862547
0.5,low,3.0,2.0,hard_amnesic,5,71,12,8,16,35,29.787666766210215,25.92067782001119
0.5,low,3.0,3.5,hard_amnesic,0,124,24,20,25,55,46.55339210926676,41.81460671960431
0.5,low,3.0,3.5,hard_amnesic,1,115,13,21,28,53,41.868983869784046,37.632517426424215
0.5,low,3.0,3.5,hard_amnesic,2,218,36,43,35,104,77.10083415947383,70.4725355075145
0.5,low,3.0,3.5,hard_amnesic,3,358,59,49,74,176,130.215903658515,116.81885751394776
0.5,low,3.0,3.5,hard_amnesic,4,249,37,43,49,120,89.26354421652013,83.19983520985751
0.5,low,3.0,3.5,hard_amnesic,5,131,17,16,35,63,49.23233908673576,52.90579230602632
0.7,high,3.0,2.0,hard_amnesic,0,280,24,37,63,156,93.72599730914567,90.21245154221623
0.7,high,3.0,2.0,hard_amnesic,1,267,20,34,64,149,88.60571048995509,87.0503756463292
0.7,high,3.0,2.0,hard_amnesic,2,498,36,35,117,310,164.98196802808505,162.38866441552204
0.7,high,3.0,2.0,hard_amnesic,3,869,94,68,222,485,285.0050230525518,282.51183341003826
0.7,high,3.0,2.0,hard_amnesic,4,516,44,50,127,295,171.4090274077739,170.8137668913702
0.7,high,3.0,2.0,hard_amnesic,5,271,25,24,90,132,104.1095410889043,109.61807421840606
0.7,high,3.0,3.5,hard_amnesic,0,298,37,24,74,163,99.08921805725555,96.15779790705054
0.7,high,3.0,3.5,hard_amnesic,1,648,70,84,124,370,212.96825317415068,209.27432495249698
0.7,high,3.0,3.5,hard_amnesic,2,1130,135,137,229,629,370.8967469892265,367.06190131464336
0.7,high,3.0,3.5,hard_amnesic,3,1380,126,118,323,813,457.2185117893463,453.02168241555376
0.7,high,3.0,3.5,hard_amnesic,4,1092,100,107,240,645,359.5727842263683,356.2745921315851
0.7,high,3.0,3.5,hard_amnesic,5,593,70,86,121,316,201.17855400693063,214.5861609611298
0.7,low,3.0,2.0,hard_amnesic,0,57,24,13,5,15,20.521316213097645,18.852697172498114
0.7,low,3.0,2.0,hard_amnesic,1,99,18,13,12,56,33.86427570798003,31.67641502700015
0.7,low,3.0,2.0,hard_amnesic,2,232,48,45,35,104,79.2085397585405,73.92549382299126
0.7,low,3.0,2.0,hard_amnesic,3,169,41,34,18,76,56.322700279662996,53.92395173943287
0.7,low,3.0,2.0,hard_amnesic,4,72,14,11,11,36,23.447597441757946,22.721667845597246
0.7,low,3.0,2.0,hard_amnesic,5,73,24,11,9,29,28.922412801818986,15.738321124254643
0.7,low,3.0,3.5,hard_amnesic,0,92,30,22,9,31,33.08051341311293,29.704796235645066
0.7,low,3.0,3.5,hard_amnesic,1,302,67,81,27,127,101.14058364201271,98.132290377764
0.7,low,3.0,3.5,hard_amnesic,2,352,93,85,36,138,120.06931513338878,113.94690351803841
0.7,low,3.0,3.5,hard_amnesic,3,918,238,227,77,376,312.8672573542865,292.3264614138916
0.7,low,3.0,3.5,hard_amnesic,4,545,149,143,36,217,183.79509663881066,174.9605989254434
0.7,low,3.0,3.5,hard_amnesic,5,173,54,37,9,73,58.55339065907769,48.485706823569615
0.9,high,3.0,2.0,hard_amnesic,0,190,21,29,23,117,58.799162417302426,58.71666734001835
0.9,high,3.0,2.0,hard_amnesic,1,109,26,20,10,53,33.92517523117231,33.88209937179783
0.9,high,3.0,2.0,hard_amnesic,2,179,34,27,22,96,54.25153454587442,54.099460462874035
0.9,high,3.0,2.0,hard_amnesic,3,303,49,55,43,156,90.01555589186852,92.73007714392942
0.9,high,3.0,2.0,hard_amnesic,4,265,32,73,43,117,78.4962045938308,116.52837633889851
0.9,high,3.0,2.0,hard_amnesic,5,149,13,49,38,49,42.865096761809525,82.31398820932783
0.9,high,3.0,3.5,hard_amnesic,0,151,20,13,27,91,46.6780455340364,46.4204555111762
0.9,high,3.0,3.5,hard_amnesic,1,226,33,29,31,133,67.50623971695876,67.38402940057449
0.9,high,3.0,3.5,hard_amnesic,2,335,56,56,60,163,99.2373999987958,99.02917889982854
0.9,high,3.0,3.5,hard_amnesic,3,409,68,80,50,211,124.66168904203397,124.33258834907265
0.9,high,3.0,3.5,hard_amnesic,4,385,73,58,44,210,115.84121465816497,116.66209768153621
0.9,high,3.0,3.5,hard_amnesic,5,286,30,85,44,127,80.6044033841571,144.24458707985653
0.9,low,3.0,2.0,hard_amnesic,0,139,36,24,13,66,46.61215353115148,35.48362840510907
0.9,low,3.0,2.0,hard_amnesic,1,55,6,4,9,36,17.65743520159966,15.410749234578416
0.9,low,3.0,2.0,hard_amnesic,2,77,12,7,11,47,24.968681528085256,20.954969094337073
0.9,low,3.0,2.0,hard_amnesic,3,55,8,8,8,31,17.49475318335276,14.768973055165283
0.9,low,3.0,2.0,hard_amnesic,4,26,9,3,0,14,7.821581648046045,4.389694792813173
0.9,low,3.0,2.0,hard_amnesic,5,57,25,4,0,28,25.333153672838723,5.870025674495074
0.9,low,3.0,3.5,hard_amnesic,0,90,20,25,7,38,30.70822665736995,22.0760174869982
0.9,low,3.0,3.5,hard_amnesic,1,88,21,9,9,49,28.814773520921253,21.981247720901152
0.9,low,3.0,3.5,hard_amnesic,2,199,40,28,18,113,64.19256780203347,52.29675591421298
0.9,low,3.0,3.5,hard_amnesic,3,403,88,54,51,210,137.2601342693932,102.62672725268266
0.9,low,3.0,3.5,hard_amnesic,4,232,52,32,26,122,81.00219900626257,55.82126644379248
0.9,low,3.0,3.5,hard_amnesic,5,95,26,4,4,61,35.36522009826321,9.667099464708702
