listener,psi_star,alpha,c,switch_type,r25,r50,r100,r150
cred,high,3.0,2.0,hard_amnesic,0.07684784915049872,0.06153623946507773,0.051227204799652114,0.04613164129356544
cred,high,3.0,3.5,hard_amnesic,0.07824504365523657,0.06086445693174999,0.05036173211534819,0.04496045225361984
cred,inf,3.0,2.0,hard_amnesic,0.020350274493296943,0.009414510225256285,0.0016846847534179705,8.571212490399862e-05
cred,inf,3.0,3.5,hard_amnesic,0.0189310911099116,0.006875528539220495,0.0016798940896987937,8.962680896123325e-05
cred,low,3.0,2.0,hard_amnesic,0.07501370271543661,0.057329946950078016,0.04860304016371568,0.04651099043091139
cred,low,3.0,3.5,hard_amnesic,0.08035795765121777,0.06289738197624684,0.052149260108669604,0.0456242010841767
switch,high,3.0,2.0,hard_amnesic,0.07052886954446634,0.04159823874135813,0.01887216288844745,0.011245070586601898
switch,high,3.0,3.5,hard_amnesic,0.07908469632764659,0.04809570760031542,0.019840114772319804,0.013223975236217189
switch,inf,3.0,2.0,hard_amnesic,0.030798624331752462,0.015884303122758868,0.005826866760849955,0.0035252364774545062
switch,inf,3.0,3.5,hard_amnesic,0.021540531009435655,0.009452461794018747,0.006081240430474285,0.005255876670281095
switch,low,3.0,2.0,hard_amnesic,0.06375922622780004,0.03503617904086907,0.021130022808909417,0.011959991147120794
switch,low,3.0,3.5,hard_amnesic,0.07729663386940958,0.043306559930245084,0.019414668212334313,0.0136562596509854
vig,high,3.0,2.0,hard_amnesic,0.055256444384654366,0.03241820031901201,0.017121386652191487,0.008992298533519114
vig,high,3.0,3.5,hard_amnesic,0.05218185961246491,0.032417806610465054,0.01564016248285771,0.009267032499114676
vig,inf,3.0,2.0,hard_amnesic,0.02321326857805252,0.012324343105157216,0.0031591226359208428,0.000991499374310176
vig,inf,3.0,3.5,hard_amnesic,0.024270325486858688,0.011781579941511154,0.004670063590010007,0.0017812359134356183
vig,low,3.0,2.0,hard_amnesic,0.05073344656825065,0.030326292340954148,0.017019528542955718,0.009932430898149807
vig,low,3.0,3.5,hard_amnesic,0.051391564692060146,0.031216204494237898,0.015819661612312,0.00833822025358677
